rho,sigma_star,ci_lo,ci_hi,frac_undefined,frac_multi_crossing,n_crossings,P_star_gt_0.60,P_star_gt_0.40,c0
0.35,0.2788578342432034,0.259489658659206,0.287220304834634,0.0,0.0,1,0.0,0.0,1.0
0.4,0.2936902828617709,0.28522779315581204,0.3116428229044958,0.0,0.0,1,0.0,0.0,1.0
0.45,0.4994827432803701,0.4632466872692165,0.6132554784862831,0.0,0.0345,1,0.07,0.999,1.0
0.5,0.8406393042944735,0.5823924685344519,0.917952858275685,0.0,0.156,1,0.895,1.0,1.0
0.55,0.8298013634968509,0.6901813045041831,0.9718071783984571,0.0,0.0725,1,1.0,1.0,1.0
0.6,1.0842420089720648,0.9634360171124836,1.2839994095153708,0.0,0.0225,1,1.0,1.0,1.0
0.65,1.2722453251922075,0.9775808807038828,1.4491034985521964,0.017,0.0455,1,0.9989827060020345,0.9989827060020345,1.0
0.4,0.4928797566100125,0.3644196421769325,0.6289201541481921,0.0,0.2405,1,0.1415,0.61,2.0
0.45,0.6666739964938285,0.6077182497697639,0.7178829151283111,0.0,0.0,1,0.9855,1.0,2.0
0.5,0.8949030873720207,0.8140530074477899,1.0428933316169784,0.0,0.0845,1,1.0,1.0,2.0
0.55,1.0523408969181844,0.9446280904272081,1.1530081040649944,0.0,0.003,1,1.0,1.0,2.0
0.6,1.1887099119816558,1.094524701211081,1.2954319059426815,0.0,0.0,1,1.0,1.0,2.0
0.65,1.4881552286916608,1.135366203571831,1.4848163932811385,0.406,0.081,1,1.0,1.0,2.0
