sigma,dY_drho,se,t,n_points,rho_min,rho_max,c0
0.05,169.73693284077635,29.58144763703995,5.737952209892625,7,0.35,0.65,1.0
0.3,41.8881455827059,10.505533383096896,3.987245964122368,7,0.35,0.65,1.0
0.4,26.759500450673507,8.691054944942078,3.0789703459701054,7,0.35,0.65,1.0
0.5,17.750894593786928,9.261752276269439,1.9165805847850692,7,0.35,0.65,1.0
0.6,5.62344520505661,9.74648895006644,0.5769713826042225,7,0.35,0.65,1.0
0.7,-4.787589509296462,7.455255661259694,-0.6421764359034089,7,0.35,0.65,1.0
0.8,-11.660039999980711,9.03131175873668,-1.2910682646627785,7,0.35,0.65,1.0
0.9,-19.791652979123626,9.47197632660515,-2.0894956128144324,7,0.35,0.65,1.0
1.0,-29.562399579635972,8.629714668527352,-3.4256520308197804,7,0.35,0.65,1.0
1.25,-45.26400799384898,9.994491517975248,-4.52889553334864,7,0.35,0.65,1.0
1.5,-61.07006015499786,8.888903744841318,-6.87037028502417,7,0.35,0.65,1.0
0.05,337.9179512228703,91.96292293199933,3.6745020759370477,6,0.4,0.65,2.0
0.3,100.72610994707443,8.812782695867842,11.429546537474835,6,0.4,0.65,2.0
0.4,75.83266471924247,11.1202533221084,6.819328887812117,6,0.4,0.65,2.0
0.5,57.20156947142399,9.124237386448266,6.269189089313083,6,0.4,0.65,2.0
0.6,45.85678870379543,8.469111226994373,5.414592803744493,6,0.4,0.65,2.0
0.7,29.262689920462716,9.405713316054406,3.111161156752978,6,0.4,0.65,2.0
0.8,15.656202538022564,9.170107245612577,1.7073085536173254,6,0.4,0.65,2.0
0.9,4.6367528811536385,9.862127300556985,0.47015747615545056,6,0.4,0.65,2.0
1.0,-6.548552755457697,8.836336851792577,-0.7410936075993108,6,0.4,0.65,2.0
1.25,-32.98831224403658,8.5613004089408,-3.853189430146147,6,0.4,0.65,2.0
1.5,-56.573097873507756,10.094085557820113,-5.60457879512219,6,0.4,0.65,2.0
