c0,support,sigma_star,ci_lo,ci_hi,frac_undefined,n_rho,P_gt_0.60,note
1.0,full 0.35-0.65,0.6540142777288407,0.6163766892066109,0.6907509707455778,0.0,7,0.998,
1.0,0.40-0.65,0.8300131724758923,0.7662204062498617,0.8656039161160756,0.0,6,1.0,
1.0,0.45-0.65,0.9376813470179435,0.8995625703570832,0.9742298016915318,0.0,5,1.0,
1.0,0.35-0.60,0.5610761052497775,0.5354277588280405,0.5921407828241129,0.0,6,0.01,
1.0,0.35-0.55,0.46087130963178696,0.43376171134244806,0.5017583846541716,0.0,5,0.0,
1.0,0.40-0.60 (brief04-like),0.6832393633263962,0.6487443475887918,0.7661044743840617,0.0,5,1.0,
2.0,full 0.35-0.65,,,,,7,,not viable at this c0
2.0,0.40-0.65,0.9414539667649011,0.9184556529987985,0.9633779393548143,0.0,6,1.0,
2.0,0.45-0.65,1.0704030190181109,1.0401496146935634,1.0991568450038702,0.0,5,1.0,
2.0,0.35-0.60,,,,,6,,not viable at this c0
2.0,0.35-0.55,,,,,5,,not viable at this c0
2.0,0.40-0.60 (brief04-like),0.8341221353812519,0.7929879441918379,0.8604478693679168,0.0,5,1.0,
