sigma,rho,Y,K,K_over_Y,I_over_Y,L,U,wage_share,wage_share_profitmax,utilization,binding,bound_demand,bound_profitmax,bound_capital,bound_workforce,cash_constrained,Y_seed_min,Y_seed_max,Y_band_rel,collapsed
0.05,0,0,6.32730911e-42,,,0,1,0,0.5120135415,0,collapsed,0,0,1,0,0.9,0,0,,True
0.05,0.1,0,7.713495414e-42,,,0,1,0,0.5120135415,0,collapsed,0,0,1,0,0.9,0,0,,True
0.05,0.2,0,1.310343487e-41,,,0,1,0,0.5120135415,0,collapsed,0,0,1,0,0.9,0,0,,True
0.05,0.3,0,3.782467792e-41,,,0,1,0,0.5120135415,0,collapsed,0,0,1,0,0.9,0,0,,True
0.05,0.4,87.41626837,283.491126,3.243001918,0.1621500959,48.66666667,0.5133333333,0.5010615753,0.5120135415,0.9602334867,capital,0.03333333333,0,0.9666666667,0,0.9,85.99559603,88.19359855,0.02514408992,False
0.05,0.5,148.6917758,645.9963009,4.344532825,0.2172266413,81.66666667,0.1833333333,0.4943111351,0.5120135415,0.7167011004,demand,1,0,0,0,0.9,147.4777291,149.2990437,0.01224892649,False
0.05,0.6,167.8214252,838.646582,4.997255749,0.2498626433,92.16993464,0.07830065359,0.4942928317,0.5120135415,0.6231876837,demand,1,0,0,0,0.9,165.6921285,172.0799983,0.038063494,False
0.2,0,0,6.493477302e-42,,,0,1,0,0.5338023649,0,collapsed,0,0,1,0,0.9,0,0,,True
0.2,0.1,0,8.406161411e-42,,,0,1,0,0.5338023649,0,collapsed,0,0,1,0,0.9,0,0,,True
0.2,0.2,0,1.77036754e-41,,,0,1,0,0.5338023649,0,collapsed,0,0,1,0,0.9,0,0,,True
0.2,0.3,0,9.853267201e-41,,,0,1,0,0.5338023649,0,collapsed,0,0,1,0,0.9,0,0,,True
0.2,0.4,129.1467953,479.6431681,3.713937825,0.1841360534,68.8627451,0.311372549,0.4798302717,0.5338023649,0.7862289071,demand,1,0,0,0,0.9,128.7086671,129.4455331,0.005705646558,False
0.2,0.5,139.9247806,619.9537474,4.430621545,0.2216895057,72.60130719,0.2739869281,0.4669735084,0.5338023649,0.6594937244,demand,1,0,0,0,0.9,138.6868215,140.8037594,0.01512911322,False
0.2,0.6,151.3331371,770.4972687,5.091398246,0.2545205123,77.7254902,0.222745098,0.4622485743,0.5338023649,0.5738805754,demand,1,0,0,0,0.9,147.921375,155.8518838,0.05240431098,False
0.3,0,0,6.632314477e-42,,,0,1,0,0.5488409715,0,collapsed,0,0,1,0,0.9,0,0,,True
0.3,0.1,0,8.823936426e-42,,,0,1,0,0.5488409715,0,collapsed,0,0,1,0,0.9,0,0,,True
0.3,0.2,0,2.042225872e-41,,,0,1,0,0.5488409715,0,collapsed,0,0,1,0,0.9,0,0,,True
0.3,0.3,0,1.694441108e-40,,,0,1,0,0.5488409715,0,collapsed,0,0,1,0,0.9,0,0,,True
0.3,0.4,129.0808716,477.1007786,3.696138497,0.1837843979,68.2875817,0.317124183,0.4761032895,0.5488409715,0.7546499194,demand,1,0,0,0,0.9,126.9564117,130.4136376,0.02678340941,False
0.3,0.5,133.6642142,591.1894866,4.422945139,0.2206339519,67.7254902,0.322745098,0.4560315364,0.5488409715,0.6310296773,demand,1,0,0,0,0.9,128.9120155,137.851351,0.06687904841,False
0.3,0.6,149.605176,778.2337858,5.201917516,0.2600958758,74,0.26,0.4451740887,0.5488409715,0.5364316986,demand,1,0,0,0,0.9,147.5068499,151.716905,0.02814110594,False
0.4,0,0,6.770943405e-42,,,0,1,0,0.564303255,0,collapsed,0,0,1,0,0.9,0,0,,True
0.4,0.1,0,9.276832614e-42,,,0,1,0,0.564303255,0,collapsed,0,0,1,0,0.9,0,0,,True
0.4,0.2,0,2.339566826e-41,,,0,1,0,0.564303255,0,collapsed,0,0,1,0,0.9,0,0,,True
0.4,0.3,0,3.193086562e-40,,,0,1,0,0.564303255,0,collapsed,0,0,1,0,0.9,0,0,,True
0.4,0.4,129.9960164,471.370839,3.626040644,0.1821208754,68.92156863,0.3107843137,0.4771160737,0.564303255,0.7332175615,demand,1,0,0,0,0.9,129.7700793,130.1612278,0.003008926684,False
0.4,0.5,132.0749502,583.6447352,4.419041871,0.2207928855,65.80392157,0.3419607843,0.448405411,0.564303255,0.6013626656,demand,1,0,0,0,0.9,130.8341692,132.7968394,0.01486027606,False
0.4,0.6,137.2752915,703.3077748,5.123338419,0.2551681973,66.16993464,0.3383006536,0.4338188354,0.564303255,0.5186863268,demand,1,0,0,0,0.9,136.0172444,138.9677264,0.02149317593,False
0.5,0,0,6.918800669e-42,,,0,1,0,0.5802011514,0,collapsed,0,0,1,0,0.9,0,0,,True
0.5,0.1,0,9.747643028e-42,,,0,1,0,0.5802011514,0,collapsed,0,0,1,0,0.9,0,0,,True
0.5,0.2,0,2.686034549e-41,,,0,1,0,0.5802011514,0,collapsed,0,0,1,0,0.9,0,0,,True
0.5,0.3,0,7.567578657e-40,,,0,1,0,0.5802011514,0,collapsed,0,0,1,0,0.9,0,0,,True
0.5,0.4,128.3614387,460.578182,3.588135087,0.1786035132,68.17647059,0.3182352941,0.477946114,0.5802011514,0.7030103062,demand,1,0,0,0,0.9,127.0746116,129.2519538,0.01696258796,False
0.5,0.5,133.5932161,594.1620934,4.447546894,0.2223749809,65.58823529,0.3441176471,0.4418620072,0.5802011514,0.5671501236,demand,1,0,0,0,0.9,131.7063055,134.7189622,0.02255097118,False
0.5,0.6,140.276424,731.0755049,5.211677658,0.2608456591,65.8627451,0.341372549,0.4225635153,0.5802011514,0.4840538477,demand,1,0,0,0,0.9,139.1890553,140.9112,0.01227679351,False
0.6,0,0,7.079400567e-42,,,0,1,0,0.596546933,0,collapsed,0,0,1,0,0.9,0,0,,True
0.6,0.1,0,1.021699751e-41,,,0,1,0,0.596546933,0,collapsed,0,0,1,0,0.9,0,0,,True
0.6,0.2,0,3.111412584e-41,,,0,1,0,0.596546933,0,collapsed,0,0,1,0,0.9,0,0,,True
0.6,0.3,0,3.159924192e-39,,,0,1,0,0.596546933,0,collapsed,0,0,1,0,0.9,0,0,,True
0.6,0.4,128.9179539,451.7952619,3.504517783,0.1748799214,69.06535948,0.3093464052,0.4821079819,0.596546933,0.6804437464,demand,1,0,0,0,0.9,127.8982199,130.3586489,0.019085232,False
0.6,0.5,131.478639,578.2199927,4.397824597,0.219871085,64.17647059,0.3582352941,0.4392950074,0.596546933,0.5424318382,demand,1,0,0,0,0.9,130.6853316,132.6908923,0.01525388964,False
0.6,0.6,135.4325369,711.3199918,5.252209021,0.2593564865,62.26143791,0.3773856209,0.413678305,0.596546933,0.4538251405,demand,1,0,0,0,0.9,131.8139011,137.5934395,0.04267466727,False
0.8,0,0,7.487800047e-42,,,0,1,0,0.6306329799,0,collapsed,0,0,1,0,0.9,0,0,,True
0.8,0.1,0,1.140085617e-41,,,0,1,0,0.6306329799,0,collapsed,0,0,1,0,0.9,0,0,,True
0.8,0.2,0,4.346926332e-41,,,0,1,0,0.6306329799,0,collapsed,0,0,1,0,0.9,0,0,,True
0.8,0.3,149.9189184,355.0113008,2.368022025,0.1184018386,98.2875817,0.01712418301,0.590020156,0.6306329799,0.8897909923,demand,0.985620915,0,0,0.01437908497,0.9,149.3773998,150.5147478,0.007586420601,False
0.8,0.4,131.178314,436.6687695,3.328818279,0.1676057597,72,0.28,0.4938114966,0.6306329799,0.6338312177,demand,1,0,0,0,0.9,129.536022,133.247749,0.02829527867,False
0.8,0.5,127.2397956,544.358632,4.278210519,0.2119870517,62.04575163,0.3795424837,0.4387368966,0.6306329799,0.4923016772,demand,1,0,0,0,0.9,126.6475823,128.3478284,0.01336253435,False
0.8,0.6,130.4017104,654.5752715,5.019683175,0.2532198067,59.34640523,0.4065359477,0.4094890497,0.6306329799,0.4201533408,demand,1,0,0,0,0.9,127.8746785,132.2570983,0.03360707281,False
1,0,0,8.045113462e-42,,,0,1,0,0.6666666667,0,collapsed,0,1,0,0,0.9,0,0,,True
1,0.1,0,1.275468875e-41,,,0,1,0,0.6666666667,0,collapsed,0,1,0,0,0.9,0,0,,True
1,0.2,0,5.959574822e-41,,,0,1,0,0.6666666667,0,collapsed,0,1,0,0,0.9,0,0,,True
1,0.3,0,1.191850988e-34,,,0,1,0,0.6666666667,0,collapsed,0,1,0,0,0.9,0,0,,True
1,0.4,131.8056201,418.7977892,3.177389467,0.1583954659,73.97385621,0.2602614379,0.5050298243,0.6666666667,0.5734977751,demand,1,0,0,0,0.9,131.0474615,132.3420259,0.00982176902,False
1,0.5,128.0175548,525.6635922,4.106183663,0.2049881226,63.20261438,0.3679738562,0.4442896486,0.6666666667,0.4439023618,demand,1,0,0,0,0.9,127.0536059,129.347948,0.01792208958,False
1,0.6,126.3940834,620.1016309,4.906096979,0.245591161,57.09150327,0.4290849673,0.4065135381,0.6666666667,0.3715328602,demand,1,0,0,0,0.9,125.1372732,128.8294928,0.02921196519,False
1.25,0,1.246790052e-44,9.143476706e-42,733.3613782,5.708468843e-46,0,1,0,0.7146177814,0,collapsed,0,1,0,0,0.9,1.235236497e-44,1.257412362e-44,0.01778636691,True
1.25,0.1,2.112328943e-44,1.549100465e-41,733.3613782,9.618089133e-46,0,1,0,0.7146177814,0,collapsed,0,1,0,0,0.9,2.082717211e-44,2.149589244e-44,0.0316579638,True
1.25,0.2,1.207135156e-43,8.852663016e-41,733.3613782,5.376144844e-45,0,1,0,0.7146177814,0,collapsed,0,1,0,0,0.9,1.17856728e-43,1.222623515e-43,0.03649652264,True
1.25,0.3,6.358691717e-39,4.66321892e-36,733.3613782,3.750649002e-40,0,1,0,0.7146177814,0,collapsed,0,1,0,0,0.9,2.709102898e-39,1.21215531e-38,1.480249496,True
1.25,0.4,134.8664277,391.0023161,2.899181974,0.1447503063,79.18954248,0.2081045752,0.5283992785,0.7146177814,0.5039390189,demand,1,0,0,0,0.9,133.7801468,136.4636839,0.01989773966,False
1.25,0.5,129.1074657,496.7932462,3.847904871,0.1924824871,65.64705882,0.3435294118,0.4575927878,0.7146177814,0.3798371614,demand,1,0,0,0,0.9,128.3423856,130.1922934,0.01432843404,False
1.25,0.6,124.7730766,587.7237044,4.710340726,0.234831213,56.81045752,0.4318954248,0.4097622796,0.7146177814,0.3101267561,demand,1,0,0,0,0.9,124.0891943,125.6072583,0.01216659922,False
1.5,0,1.413323343e-43,1.151640838e-41,81.48459757,6.465348376e-45,0,1,0,0.7660178602,0,collapsed,0,1,0,0,0.9,1.384193248e-43,1.4518475e-43,0.04786891336,True
1.5,0.1,2.433729174e-43,1.983114423e-41,81.48459757,1.100724781e-44,0,1,0,0.7660178602,0,collapsed,0,1,0,0,0.9,2.387439218e-43,2.472009459e-43,0.03474924067,True
1.5,0.2,1.587997348e-42,1.293973249e-40,81.48459757,6.981315897e-44,0,1,0,0.7660178602,0,collapsed,0,1,0,0,0.9,1.560907414e-42,1.608158727e-42,0.02975528421,True
1.5,0.3,1.540734969e-38,1.255461689e-36,81.48459757,7.260932527e-40,0,1,0,0.7660178602,0,collapsed,0,1,0,0,0.9,9.353477528e-39,2.34925818e-38,0.9176856858,True
1.5,0.4,139.2120305,362.9407683,2.607107785,0.1300354693,85.83006536,0.1416993464,0.5548295323,0.7660178602,0.4214994169,demand,1,0,0,0,0.9,137.668985,140.6037847,0.021081509,False
1.5,0.5,127.9796676,444.2690016,3.471402996,0.1735873266,68.64052288,0.3135947712,0.4826531033,0.7660178602,0.31640307,demand,1,0,0,0,0.9,127.3252174,128.6796183,0.01058293779,False
1.5,0.6,123.5674915,542.153021,4.387505276,0.2191716782,58.20915033,0.4179084967,0.4238673322,0.7660178602,0.2504401673,demand,1,0,0,0,0.9,121.5251347,124.6031641,0.02490970209,False
