symbol,code_ref,kind,code_value,decimals,printed,value_status,value_note,tex_file,tex_status,tex_note,verdict
sigma,signature:sigma,swept,1.0,1,swept,MATCH,default=1.0 nests at 1.0,paper/sections/04_calibration.tex,OK,line 41,MATCH
pi0,signature:pi0,exact,0.3333333333333333,4,1/3,MATCH,"round(0.3333333333333333,4)=0.3333 vs 0.3333",paper/sections/04_calibration.tex,OK,line 44,MATCH
eta,signature:eta,swept,0.0,2,swept,MATCH,default=0.0 nests at 0.0,paper/sections/04_calibration.tex,OK,line 46,MATCH
lambda (wealth effect),signature:wealth_effect,exact,0.05,2,0.05,MATCH,"round(0.05,2)=0.05 vs 0.05",paper/sections/04_calibration.tex,OK,line 48,MATCH
rho (retention),signature:retention_ratio,exact,0.4,2,0.40,MATCH,"round(0.4,2)=0.40 vs 0.40",paper/sections/04_calibration.tex,OK,line 51,MATCH
rr (replacement),signature:benefit_replacement_rate,swept,0.0,2,swept,MATCH,default=0.0 nests at 0.0,paper/sections/04_calibration.tex,OK,line 53,MATCH
delta (depreciation),signature:delta,exact,0.05,2,0.05,MATCH,"round(0.05,2)=0.05 vs 0.05",paper/sections/04_calibration.tex,OK,line 58,MATCH
U_min,derived:u_min_default,derived,0.01,2,0.01,MATCH,"round(0.01,2)=0.01 vs 0.01",paper/sections/04_calibration.tex,OK,line 61,MATCH
w_min,signature:wage_floor,exact,0.45,2,0.45,MATCH,"round(0.45,2)=0.45 vs 0.45",paper/sections/04_calibration.tex,OK,line 61,MATCH
max tau (tax cap),signature:max_tax,exact,0.6,1,0.6,MATCH,"round(0.6,1)=0.6 vs 0.6",paper/sections/04_calibration.tex,OK,line 63,MATCH
I (investment floor),signature:investment_floor,exact,0.1,1,0.1,MATCH,"round(0.1,1)=0.1 vs 0.1",paper/sections/04_calibration.tex,OK,line 65,MATCH
u-bar (target util),signature:target_utilization,exact,0.9,2,0.90,MATCH,"round(0.9,2)=0.90 vs 0.90",paper/sections/04_calibration.tex,OK,line 66,MATCH
K0,signature:K0,exact,41.87356984217038,2,41.87,MATCH,"round(41.87356984217038,2)=41.87 vs 41.87",paper/sections/04_calibration.tex,OK,line 71,MATCH
L0,signature:L0,exact,7.395333333333333,3,7.395,MATCH,"round(7.395333333333333,3)=7.395 vs 7.395",paper/sections/04_calibration.tex,OK,line 71,MATCH
U_REF,module:U_REF,exact,0.2604666666666667,5,0.26047,MATCH,"round(0.2604666666666667,5)=0.26047 vs 0.26047",paper/sections/04_calibration.tex,OK,line 73,MATCH
w-bar,signature:wage_rate,exact,0.9,1,0.9,MATCH,"round(0.9,1)=0.9 vs 0.9",paper/sections/04_calibration.tex,OK,line 75,MATCH
K_init,signature:initial_capital,exact,40.0,1,40.0,MATCH,"round(40.0,1)=40.0 vs 40.0",paper/sections/04_calibration.tex,OK,line 76,MATCH
beta (accelerator),signature:beta,exact,0.5,1,0.5,MATCH,"round(0.5,1)=0.5 vs 0.5",paper/sections/04_calibration.tex,OK,line 78,MATCH
c0,signature:c0,set,2.0,1,1.0 2.0,MATCH,"default=2.0 in [1.0, 2.0]",paper/sections/04_calibration.tex,OK,line 83 | line 83,MATCH
