token,kind,occurrences,files,category,false_positive_note
-0.029,decimal,1,paper/sections/09_sensitivity.tex,COVERED_RESULT,
-0.045,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
-0.060,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
-0.07,decimal,1,paper/sections/02_literature.tex,LITERATURE_OR_DESIGN,
-0.075,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
-0.090,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
-0.10,decimal,1,paper/sections/02_literature.tex,LITERATURE_OR_DESIGN,
-0.475,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
-0.649,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
-0.823,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
-0.998,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
-11.7,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-18.9,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-20.7,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-29.6,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-33.3,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-4.8,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-45.3,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-5.9,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-51.5,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-61.1,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-68.8,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
-83.9,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.0,decimal,8,paper/appendices/a_validation.tex;paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.00,decimal,7,paper/appendices/a_validation.tex;paper/sections/07_stress.tex;paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.000,decimal,4,paper/sections/07_stress.tex;paper/sections/08_fiscal.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.001,decimal,2,paper/sections/07_stress.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.002,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.005,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.008,decimal,2,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.01,decimal,1,paper/sections/04_calibration.tex,COVERED_PARAM,
0.014,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.016,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.019,decimal,1,paper/sections/10_discussion.tex,COVERED_RESULT,
0.02,decimal,1,paper/sections/04_calibration.tex,LITERATURE_OR_DESIGN,
0.021,decimal,2,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.022,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.024,decimal,3,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.025,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.026,decimal,5,paper/sections/09_sensitivity.tex;paper/sections/10_discussion.tex;paper/sections/12_conclusion.tex,COVERED_RESULT,
0.0263,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.030,decimal,2,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.038,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.039,decimal,1,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.044,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.045,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.05,decimal,9,paper/appendices/a_validation.tex;paper/sections/03_model.tex;paper/sections/04_calibration.tex;paper/sections/07_stress.tex;paper/sections/09_sensitivity.tex,COVERED_PARAM,
0.050,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.0500,decimal,2,paper/sections/04_calibration.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.060,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.069,decimal,1,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.07,decimal,1,paper/sections/04_calibration.tex,LITERATURE_OR_DESIGN,
0.075,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.08,decimal,1,paper/appendices/a_validation.tex,LITERATURE_OR_DESIGN,
0.086,decimal,2,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.09,decimal,1,paper/sections/04_calibration.tex,LITERATURE_OR_DESIGN,
0.090,decimal,4,paper/sections/04_calibration.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.094,decimal,2,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.0940,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.095,decimal,4,paper/sections/09_sensitivity.tex;paper/sections/10_discussion.tex;paper/sections/12_conclusion.tex,COVERED_RESULT,
0.098,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.1,decimal,1,paper/sections/04_calibration.tex,COVERED_PARAM,
0.10,decimal,17,paper/appendices/a_validation.tex;paper/sections/03_model.tex;paper/sections/04_calibration.tex;paper/sections/07_stress.tex;paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.100,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.111,decimal,2,paper/sections/05_protocol.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.116,decimal,1,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.125,decimal,2,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.127,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.128,decimal,1,paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.135,decimal,1,paper/sections/04_calibration.tex,LITERATURE_OR_DESIGN,
0.138,decimal,3,paper/sections/04_calibration.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.141,decimal,3,paper/sections/04_calibration.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.15,decimal,8,paper/sections/04_calibration.tex;paper/sections/07_stress.tex;paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.150,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.154,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.158,decimal,2,paper/sections/04_calibration.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.161,decimal,2,paper/sections/04_calibration.tex,LITERATURE_OR_DESIGN,
0.170,decimal,1,paper/sections/05_protocol.tex,LITERATURE_OR_DESIGN,
0.182,decimal,2,paper/sections/04_calibration.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.183,decimal,1,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.20,decimal,1,paper/appendices/a_validation.tex,LITERATURE_OR_DESIGN,
0.200,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.201,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.202,decimal,2,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.206,decimal,1,paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.207,decimal,1,paper/sections/05_protocol.tex,LITERATURE_OR_DESIGN,
0.211,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.229,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.25,decimal,4,paper/sections/07_stress.tex;paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.250,decimal,2,paper/sections/07_stress.tex;paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.251,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.258,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.26047,decimal,1,paper/sections/04_calibration.tex,COVERED_PARAM,
0.264,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.276,decimal,1,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.290,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.299,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.3,decimal,2,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.30,decimal,7,paper/sections/06_shape.tex;paper/sections/07_stress.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.300,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.301,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.31,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.313,decimal,1,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.314,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.323,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.325,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.331,decimal,1,paper/sections/09_sensitivity.tex,COVERED_RESULT,
0.337,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.349,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.35,decimal,9,paper/sections/04_calibration.tex;paper/sections/06_shape.tex;paper/sections/07_stress.tex;paper/sections/09_sensitivity.tex;paper/sections/11_limitations.tex,LITERATURE_OR_DESIGN,
0.357,decimal,1,paper/sections/04_calibration.tex,LITERATURE_OR_DESIGN,
0.36,decimal,1,paper/sections/04_calibration.tex,LITERATURE_OR_DESIGN,
0.363,decimal,8,paper/sections/04_calibration.tex;paper/sections/06_shape.tex;paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.37,decimal,1,paper/sections/11_limitations.tex,LITERATURE_OR_DESIGN,
0.373,decimal,1,paper/sections/08_fiscal.tex,LITERATURE_OR_DESIGN,
0.377,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.379,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.38,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.380,decimal,1,paper/sections/09_sensitivity.tex,LITERATURE_OR_DESIGN,
0.394,decimal,2,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.395,decimal,1,paper/appendices/a_validation.tex,LITERATURE_OR_DESIGN,
0.4,decimal,1,paper/sections/10_discussion.tex,LITERATURE_OR_DESIGN,
0.40,decimal,15,paper/sections/02_literature.tex;paper/sections/03_model.tex;paper/sections/04_calibration.tex;paper/sections/06_shape.tex;paper/sections/07_stress.tex;paper/sections/08_fiscal.tex;paper/sections/09_sensitivity.tex,COVERED_PARAM,
0.406,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.41,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.410,decimal,1,paper/sections/07_stress.tex,LITERATURE_OR_DESIGN,
0.411,decimal,1,paper/sections/06_shape.tex,LITERATURE_OR_DESIGN,
0.414,decimal,1,paper/sections/09_sensitivity.tex,BLINDSPOT_1_DERIVED,
