rho,sigma_star,ci_lo,ci_hi,frac_undefined,frac_multi_crossing,n_crossings,P_star_gt_0.60,P_star_gt_0.40,anchor
0.35,0.2788578342432034,0.259489658659206,0.287220304834634,0.0,0.0,1,0.0,0.0,rho=0.40 (brief 04)
0.4,0.2936902828617709,0.28522779315581204,0.3116428229044958,0.0,0.0,1,0.0,0.0,rho=0.40 (brief 04)
0.45,0.4994827432803701,0.4632466872692165,0.6132554784862831,0.0,0.0345,1,0.07,0.999,rho=0.40 (brief 04)
0.5,0.8406393042944735,0.5823924685344519,0.917952858275685,0.0,0.156,1,0.895,1.0,rho=0.40 (brief 04)
0.55,0.8298013634968509,0.6901813045041831,0.9718071783984571,0.0,0.0725,1,1.0,1.0,rho=0.40 (brief 04)
0.6,1.0842420089720648,0.9634360171124836,1.2839994095153708,0.0,0.0225,1,1.0,1.0,rho=0.40 (brief 04)
0.65,1.2722453251922075,0.9775808807038828,1.4491034985521964,0.017,0.0455,1,0.9989827060020345,0.9989827060020345,rho=0.40 (brief 04)
0.45,0.37217312555773246,0.2992864297361104,0.6886119409550732,0.0,0.384,1,0.053,0.266,rho=0.50 (brief 05)
0.5,0.6372605899584174,0.4271869329897082,0.7368988157341834,0.0,0.175,1,0.577,0.982,rho=0.50 (brief 05)
0.55,0.8695197332959338,0.7930801406881176,0.9377190988841462,0.0,0.0395,1,1.0,1.0,rho=0.50 (brief 05)
0.6,1.196733339755025,0.8888948931254761,1.319228365076129,0.0005,0.174,1,1.0,1.0,rho=0.50 (brief 05)
0.65,1.312452397598702,0.9468235913583114,1.409411163707906,0.0095,0.144,1,0.9959616355376073,0.9994952044422009,rho=0.50 (brief 05)
