sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0
0.3,0.35,0,0.0,3.649342764923977e-39,0.0,0.0,0.0,1.0,0.0,0.5488409715364094,0.0,0.0,0.9224659605162998,1.0,1.0,1.8395306932097022e-39,1.3441805959122346e-39,0.0,0.0,0.8800000000000002,0.0,0.0,1.0,0.0,0.5
0.3,0.35,1,0.0,2.5805688406110282e-26,0.0,0.0,0.0,1.0,0.0,0.5488409715364094,0.0,0.0,0.9232659106597038,1.0,1.0,1.3007919217320918e-26,9.50513773412932e-27,0.0,0.0,0.8800000000000002,0.0,0.0,1.0,0.0,0.5
0.3,0.35,2,63.173702180997914,186.21947650368912,9.31095184176282,53.862750339235106,37.0,0.6299999999999999,0.5271180705004487,0.5488409715364094,0.47288192949955143,0.7375124285162016,0.9088506211429191,0.28563069445255307,0.053407084011155154,88.43283395648152,66.73798325981738,0.946592862920026,0.0,0.9,0.09999999999999998,0.9,0.0,0.0,0.5
0.3,0.35,3,0.0,2.0826803297235298e-35,0.0,0.0,0.0,1.0,0.0,0.5488409715364094,0.0,0.0,0.9176108897219567,1.0,1.0,1.0498203751903107e-35,7.671240184972832e-36,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.5
0.3,0.35,4,66.11868152381437,200.917253135967,10.045862658340793,56.072818865473586,38.0,0.6200000000000001,0.5172516936485186,0.5488409715364094,0.48274830635148136,0.7333281616564019,0.9086556485524654,0.2995933991416097,0.08175408481612324,94.40042604221888,72.00541862533008,0.9182459151872246,0.0,0.9,0.30000000000000004,0.7000000000000002,0.0,0.0,0.5
0.3,0.35,5,0.0,1.4020057269705133e-05,0.0,0.0,0.0,1.0,0.0,0.5488409715364094,0.0,0.0,0.9212549326901845,1.0,1.0,7.0671151847030345e-06,5.164077520108897e-06,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.5
0.3,0.35,6,0.0,3.0686916956018597e-38,0.0,0.0,0.0,1.0,0.0,0.5488409715364094,0.0,0.0,0.9227624161168254,1.0,1.0,1.546840876750293e-38,1.130306495654969e-38,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5
0.3,0.35,7,0.0,2.5051010615484475e-37,0.0,0.0,0.0,1.0,0.0,0.5488409715364094,0.0,0.0,0.9212573538007918,1.0,1.0,1.2627507442169727e-37,9.227163504885836e-38,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5
0.3,0.35,8,0.0,1.941271987387022e-34,0.0,0.0,0.0,1.0,0.0,0.5488409715364094,0.0,0.0,0.9201096127851133,1.0,1.0,9.78540420754644e-35,7.150383794896771e-35,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5
0.3,0.35,9,0.0,1.2056875209475345e-35,0.0,0.0,0.0,1.0,0.0,0.5488409715364094,0.0,0.0,0.9222024756128903,1.0,1.0,6.07753051459146e-36,4.4409688943673784e-36,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5
