sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0,anchor
0.05,0.35,0,0.0,2.941630140723857e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9146180145675427,1.0,1.0,7.592494306420091e-42,7.484480481783343e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,1,0.0,3.65509647149671e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9084612591360585,1.0,1.0,9.433986538642851e-42,9.299774917733396e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,2,0.0,2.6160218080763485e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9128043033280718,1.0,1.0,6.7520829380688e-42,6.656025137697633e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,3,0.0,3.097756203130979e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9048574129577444,1.0,1.0,7.995463470863776e-42,7.881716847636003e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,4,0.0,3.909386977259604e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9090302525440667,1.0,1.0,1.0090323033993814e-41,9.946774110710409e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,5,0.0,3.247359997110507e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9082982472985444,1.0,1.0,8.381598334755574e-42,8.262358404349511e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,6,0.0,2.744511501964318e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9112662171761289,1.0,1.0,7.083721255127236e-42,6.982945436990645e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,7,0.0,2.365269149525384e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9156355675958596,1.0,1.0,6.104877803061768e-42,6.018027398723491e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,8,0.0,2.954107371506311e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.91077461240189,1.0,1.0,7.624698662217293e-42,7.516226685687471e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.35,9,0.0,2.620116757113249e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9113718105370413,1.0,1.0,6.762652206046214e-42,6.666444043091712e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
