c0,eta,target,support_kind,sigma_star,ci_lo,ci_hi,frac_undefined,n_crossings,P_star_gt_0.60,P_star_gt_0.40,support
1.0,0.0,Y,across_eta,0.6540142777288407,0.6163766892066109,0.6907509707455778,0.0,1,0.998,1.0,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.0,U,across_eta,0.31407851962990696,0.29966166244252485,0.3250237524204735,0.0,1,0.0,0.0,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.0,Y,natural_eta0,0.6540142777288407,0.6163766892066109,0.6907509707455778,0.0,1,0.998,1.0,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.0,U,natural_eta0,0.31407851962990696,0.29966166244252485,0.3250237524204735,0.0,1,0.0,0.0,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.05,Y,across_eta,0.6661956479701043,0.6341384005287711,0.6918315489318047,0.0,1,0.999,1.0,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.05,U,across_eta,0.33751194952520525,0.3218847716500292,0.35063387740521373,0.0,1,0.0,0.0,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.1,Y,across_eta,0.7246308936670626,0.697264016238767,0.7448608130047202,0.0,2,1.0,1.0,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.1,U,across_eta,0.3727734705844029,0.35789567965003877,0.38747059349480917,0.0,1,0.0,0.0005,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.15,Y,across_eta,0.7404263764107547,0.6817644836543526,0.7931234080585386,0.0,2,1.0,1.0,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
1.0,0.15,U,across_eta,0.39263720730133306,0.38007766863391085,0.40867012710845957,0.0,1,0.0,0.216,"[np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.0,Y,across_eta,1.1434130853475049,1.0910535248578992,1.2080260898746789,0.0,1,1.0,1.0,"[np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.0,U,across_eta,0.5813612866168829,0.5616748213834237,0.6015054773293992,0.0,1,0.0425,1.0,"[np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.0,Y,natural_eta0,0.9414539667649011,0.9184556529987985,0.9633779393548143,0.0,1,1.0,1.0,"[np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.0,U,natural_eta0,0.449718846949328,0.44369966917008213,0.4560939088368168,0.0,1,0.0,1.0,"[np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.05,Y,across_eta,1.1527756026869371,1.1110334792048913,1.1990453419446365,0.0,1,1.0,1.0,"[np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.05,U,across_eta,0.5720737327188891,0.5521197084668278,0.6056625371350887,0.0,1,0.0635,1.0,"[np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.1,Y,across_eta,,,,1.0,0,,,"[np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.1,U,across_eta,0.6203322240862461,0.614062147909561,0.6448768891454866,0.0,2,1.0,1.0,"[np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.15,Y,across_eta,0.31859663413468853,0.2575668793099077,0.33544850845859814,0.0,2,0.0,0.0,"[np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
2.0,0.15,U,across_eta,0.30628858623150146,0.1772145900645595,0.32411940079432655,0.0,4,0.0,0.0,"[np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65)]"
