sigma,dY_drho,se,t,n_points,rho_min,rho_max,c0,eta
0.05,169.73693284077635,29.58144763703995,5.737952209892625,7,0.35,0.65,1.0,0.0
0.3,41.8881455827059,10.505533383096896,3.987245964122368,7,0.35,0.65,1.0,0.0
0.4,26.759500450673507,8.691054944942078,3.0789703459701054,7,0.35,0.65,1.0,0.0
0.5,17.750894593786928,9.261752276269439,1.9165805847850692,7,0.35,0.65,1.0,0.0
0.6,5.62344520505661,9.74648895006644,0.5769713826042225,7,0.35,0.65,1.0,0.0
0.7,-4.787589509296462,7.455255661259694,-0.6421764359034089,7,0.35,0.65,1.0,0.0
0.8,-11.660039999980711,9.03131175873668,-1.2910682646627785,7,0.35,0.65,1.0,0.0
0.9,-19.791652979123626,9.47197632660515,-2.0894956128144324,7,0.35,0.65,1.0,0.0
1.0,-29.562399579635972,8.629714668527352,-3.4256520308197804,7,0.35,0.65,1.0,0.0
1.25,-45.26400799384898,9.994491517975248,-4.52889553334864,7,0.35,0.65,1.0,0.0
1.5,-61.07006015499786,8.888903744841318,-6.87037028502417,7,0.35,0.65,1.0,0.0
0.05,125.45504323881529,4.650790263995877,26.9749948111026,7,0.35,0.65,1.0,0.05
0.3,42.62617866482964,9.210389563507173,4.628053826704617,7,0.35,0.65,1.0,0.05
0.4,32.75370197664554,8.647084874512704,3.7878316741387756,7,0.35,0.65,1.0,0.05
0.5,17.743050860796824,8.90299636559964,1.9929302599015253,7,0.35,0.65,1.0,0.05
0.6,8.21932313692395,7.695199008904431,1.068110535856582,7,0.35,0.65,1.0,0.05
0.7,-4.197389122824739,7.591255833691494,-0.5529242084288474,7,0.35,0.65,1.0,0.05
0.8,-11.75982960478634,8.016233422656653,-1.4670018928776436,7,0.35,0.65,1.0,0.05
0.9,-18.833409850194496,8.671654125263863,-2.1718359125193345,7,0.35,0.65,1.0,0.05
1.0,-24.627853279389743,9.753471549710937,-2.525034614995072,7,0.35,0.65,1.0,0.05
1.25,-45.865967514574606,11.800839965791939,-3.8866697326232744,7,0.35,0.65,1.0,0.05
1.5,-64.38079811627848,12.446956351542633,-5.1724129416023334,7,0.35,0.65,1.0,0.05
0.05,116.73519577752657,5.381824648180933,21.69063531584651,7,0.35,0.65,1.0,0.1
0.3,45.755558720429015,6.208257212974581,7.370113246082151,7,0.35,0.65,1.0,0.1
0.4,37.55950807676306,8.255595612689701,4.549581864091093,7,0.35,0.65,1.0,0.1
0.5,24.19761915852972,8.708447339936175,2.778637593358527,7,0.35,0.65,1.0,0.1
0.6,15.067345624957337,8.7716505531284,1.7177320885843526,7,0.35,0.65,1.0,0.1
0.7,2.756155062883007,8.523763740297829,0.32334953746462053,7,0.35,0.65,1.0,0.1
0.8,-8.43367466939648,7.504028315087731,-1.1238863068306373,7,0.35,0.65,1.0,0.1
0.9,-15.872407457047279,8.367764203580105,-1.8968516644214652,7,0.35,0.65,1.0,0.1
1.0,-22.63760863291173,9.55524675514828,-2.369128627757812,7,0.35,0.65,1.0,0.1
1.25,-44.913210542500124,11.538248388895358,-3.8925501539493204,7,0.35,0.65,1.0,0.1
1.5,76.32955739322263,70.48184522489075,1.0829676372642236,7,0.35,0.65,1.0,0.1
0.05,116.05790449879325,7.979220546018176,14.54501775323267,7,0.35,0.65,1.0,0.15
0.3,48.13580872181778,4.443462234806221,10.83295101391066,7,0.35,0.65,1.0,0.15
0.4,38.56395954359298,8.132942288538707,4.74169841312399,7,0.35,0.65,1.0,0.15
0.5,26.0938159143109,9.21998434917647,2.8301366820261036,7,0.35,0.65,1.0,0.15
0.6,12.431796949750801,7.953023946920381,1.5631534662440842,7,0.35,0.65,1.0,0.15
0.7,3.0553307436870263,7.467997319514042,0.4091231709073301,7,0.35,0.65,1.0,0.15
0.8,-4.502434791970113,7.6885048847254405,-0.5856060260708147,7,0.35,0.65,1.0,0.15
0.9,-8.344339444517793,8.33152568717076,-1.001537984497457,7,0.35,0.65,1.0,0.15
1.0,-19.95017913591029,7.136646253478542,-2.7954557963674014,7,0.35,0.65,1.0,0.15
1.25,-39.251815861261015,10.19654966418459,-3.849519411368449,7,0.35,0.65,1.0,0.15
1.5,68.71354852945083,65.5001968398794,1.0490586569904017,7,0.35,0.65,1.0,0.15
0.05,182.31118937445575,7.539849536474326,24.17968534949113,4,0.5,0.65,2.0,0.0
0.3,124.32760176640137,0.9043081198145444,137.4836729232272,4,0.5,0.65,2.0,0.0
0.4,103.93845976874064,10.647744497405203,9.761547132735002,4,0.5,0.65,2.0,0.0
0.5,81.44754885348988,7.2585875903102774,11.220853622021016,4,0.5,0.65,2.0,0.0
0.6,67.67132844404603,8.214968463047153,8.237563996556709,4,0.5,0.65,2.0,0.0
0.7,50.38037802138206,9.955256496142903,5.0606810624017164,4,0.5,0.65,2.0,0.0
0.8,39.502948164075576,5.226725432888906,7.5578770439145835,4,0.5,0.65,2.0,0.0
0.9,28.0956239101595,9.625291952624178,2.9189373214284364,4,0.5,0.65,2.0,0.0
1.0,13.668487926627563,5.800805921497539,2.356308435690415,4,0.5,0.65,2.0,0.0
1.25,-10.158640353733972,3.8292360402513554,-2.6529156852569336,4,0.5,0.65,2.0,0.0
1.5,-27.363266355197194,6.567320839149164,-4.166579801017042,4,0.5,0.65,2.0,0.0
0.05,198.59006658963764,79.45173013200103,2.4995058793521587,4,0.5,0.65,2.0,0.05
0.3,137.54155425867498,5.061758534119614,27.17268185188084,4,0.5,0.65,2.0,0.05
0.4,95.49200055198747,7.929307871910571,12.042917502329068,4,0.5,0.65,2.0,0.05
0.5,74.87429802365853,2.106763659255783,35.5399608753969,4,0.5,0.65,2.0,0.05
0.6,64.03935969848702,7.395113707803973,8.659685601711177,4,0.5,0.65,2.0,0.05
0.7,46.91906206797034,9.681861016751805,4.84607886715062,4,0.5,0.65,2.0,0.05
