sigma,rho,Y,K,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Expected_Demand,Y_seed_min,Y_seed_max,n_seeds,frac_seeds_collapsed,collapsed,mixed_basin,Y_band_rel,binding,c0,eta,lambda_e
0.05,0.35,71.52847137534215,232.24940653331515,11.61246830050117,59.91600307484098,39.85,0.6015,0.42626913724881366,0.5120135414510577,0.4237308627511863,0.5803652553447286,0.9107053805781906,0.2143615705171214,0.18412762643515043,77.46009310181569,74.58964038751779,0.8158723695363241,0.0,0.9,0.20999999999999996,0.12499999999999997,0.665,0.0,0.9,0.0,83.65964514717625,0.0,92.32463533748825,20,0.15,False,True,1.2907396671881781,capital,1.0,0.0,0.25
0.05,0.4,90.16441400457612,326.7885431705639,16.347260533115506,73.81715347146061,49.60686274509804,0.5039313725490195,0.4951710331148983,0.5120135414510577,0.5048289668851017,0.6640540392430375,0.9081230168944314,0.17213858986187033,0.14027074705309325,108.99038600490564,104.95059208139801,0.8597697538544444,0.0,0.9,0.8325490196078432,0.08617647058823527,0.08127450980392156,0.0,0.9,0.0,98.09931120862937,83.5515277246705,96.41493978292502,20,0.0,False,False,0.14266617490134914,demand,1.0,0.0,0.25
0.05,0.45,95.38384882354568,377.87396924663074,18.893698462331564,76.49015036121412,52.4,0.476,0.4944244058624223,0.5120135414510577,0.5055755941375778,0.6418014574091481,0.9074679457403988,0.24264551281295482,0.21355944396869891,126.01880791741812,121.35868834325936,0.786440556031301,0.0,0.9,0.9949999999999999,0.004999999999999999,0.0,0.0,0.9,0.0,103.11282102719326,89.1856845579781,103.76946443307185,20,0.0,False,False,0.15289569518286944,demand,1.0,0.0,0.25
0.05,0.5,98.59943234734003,418.858556938692,20.94423882175306,77.65519352558695,54.15588235294117,0.4584411764705882,0.4943264350724276,0.5120135414510577,0.5056735649275724,0.6259467987458353,0.9071551502334181,0.29359671937494086,0.26674552257668016,139.6316175442485,134.52114143194774,0.7332662765183843,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,107.27344248375496,94.67271317320835,105.60170278181577,20,0.0,False,False,0.11084231773371118,demand,1.0,0.0,0.25
0.05,0.55,104.87616616047754,479.9949203450543,23.999746017252757,80.87642014322476,57.6,0.42400000000000004,0.49429735280875936,0.5120135414510577,0.5057026471912407,0.5977587697115957,0.9067911570483698,0.33987059643260636,0.31908435718363753,158.94645622187437,154.15603795265247,0.6809156428163625,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,113.28022860127301,96.49940026885544,112.8883327589319,20,0.0,False,False,0.15626937072622135,demand,1.0,0.0,0.25
0.05,0.6,110.88612228464653,542.5078670185956,27.125393350929805,83.76072893371673,60.9,0.391,0.4942909088836348,0.5120135414510577,0.5057090911163652,0.5693539281697393,0.9056851121395832,0.3632836443992206,0.3579359694373469,174.11857782488113,172.7259344450754,0.6367546051420887,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,119.34304078240548,101.96390247308057,116.53073464122471,20,0.0,False,False,0.13136749548109225,demand,1.0,0.0,0.25
0.05,0.65,119.3532137153582,623.2920972047793,31.164604860239002,88.18860885511918,65.55,0.3445,0.49428916738411655,0.5120135414510577,0.5057108326158835,0.5306088154324321,0.9053730123006261,0.34074033537414616,0.34074033537414616,181.01393348709692,181.01393348709692,0.5965323068478429,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,127.32117894327914,109.24768951896769,125.63501588184036,20,0.0,False,False,0.1373010902073764,demand,1.0,0.0,0.25
0.3,0.35,90.30062992132929,288.79843741408837,14.443738614235176,75.85689130709412,50.6343137254902,0.493656862745098,0.5046139911501966,0.5488409715364094,0.4953860088498033,0.6595463486431932,0.9087300644726362,0.2795848520915566,0.12696280477409685,125.36652843275412,103.4997136494795,0.8732186573527297,0.0,0.9,0.9011764705882352,0.09882352941176469,0.0,0.0,0.9,0.0,96.27956485012064,86.52779016853177,93.39045699803452,20,0.0,False,False,0.07599799509130306,demand,1.0,0.0,0.25
0.3,0.4,88.23981922541539,317.2097858339929,15.933433060026967,72.30638616538842,47.161764705882355,0.5283823529411765,0.48095334533008527,0.5488409715364094,0.5190466546699147,0.6856810272146786,0.908701566568238,0.3399472536412335,0.22347083387065542,133.68608259904752,113.66749695975345,0.7769689108488061,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,95.02352681743992,85.85468798810044,90.77563478197584,20,0.0,False,False,0.05576787030019254,demand,1.0,0.0,0.25
0.3,0.45,89.26553934165372,355.66861605212557,17.838752603092416,71.4267867385613,46.27450980392157,0.5372549019607844,0.4665469306814726,0.5488409715364094,0.5334530693185273,0.6922852487781396,0.9085799384160854,0.3786114405234017,0.29945659940387565,143.6466320424982,127.45422482852882,0.7007645668034904,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,96.36457045632731,86.02268720303408,92.81830224214664,20,0.0,False,False,0.07612809029364755,demand,1.0,0.0,0.25
0.3,0.5,91.56332371361873,399.33337093800344,19.96795491357608,71.59536880004265,46.530392156862746,0.5346960784313726,0.4573710513266187,0.5488409715364094,0.5426289486733812,0.689948832412677,0.9082165208743559,0.40278218726647985,0.3599362260997406,153.29611318079048,143.11414567282253,0.6401025942213426,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,98.9347933482947,86.45664078358139,95.2645257832661,20,0.0,False,False,0.0961944656709164,demand,1.0,0.0,0.25
0.3,0.55,93.98184691015537,441.84701170169546,22.107173974737073,71.87467293541829,47.141176470588235,0.5285882352941177,0.45145708477091295,0.5488409715364094,0.548542915229087,0.6842178125091328,0.9078470350126031,0.4172463958780064,0.404293315529781,161.23533135223713,157.80804948906194,0.5938132404563727,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,101.92233196867797,89.55899046285091,100.0723025447385,20,0.0,False,False,0.11186534876185283,demand,1.0,0.0,0.25
0.3,0.6,98.05053060415833,493.78213342005273,24.755054759019785,73.29547584513855,48.7078431372549,0.512921568627451,0.4471136876484577,0.5488409715364094,0.5528863123515423,0.6718667574150126,0.9076413894236326,0.4208218983447133,0.42057155160960963,169.22669584313047,169.15451342955689,0.5546993724444254,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,106.25246762645138,92.3380198761973,105.11637109137358,20,0.0,False,False,0.13032414140382384,demand,1.0,0.0,0.25
0.3,0.65,104.62050976004522,568.5892233993958,28.425983899123526,76.1945258609217,51.5,0.485,0.4430449423360379,0.5488409715364094,0.5569550576639621,0.6504884843434778,0.9070692039114998,0.41358422546930546,0.41358422546930546,178.36243682472593,178.36243682472593,0.5136603365728211,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,112.27450535634839,99.3214833616046,112.0596707532687,20,0.0,False,False,0.12175612048612706,demand,1.0,0.0,0.25
