c0,eta,lambda_e,sigma,rho,frac_seeds_collapsed,frac_seeds_U1,mean_U,Y
2.0,0.1,0.25,0.05,0.35,0.95,0.95,0.9755,4.3380641412846535
2.0,0.1,0.25,0.05,0.4,0.0,0.0,0.5048823529411764,89.8140662954694
2.0,0.1,0.25,0.05,0.45,0.0,0.0,0.209,143.98659063840557
2.0,0.1,0.25,0.05,0.5,0.0,0.0,0.138,156.9351203521738
2.0,0.1,0.25,0.05,0.55,0.0,0.0,0.016029411764705896,177.56354680154126
2.0,0.1,0.25,0.05,0.6,0.0,0.0,0.011794117647058833,177.6468875830725
2.0,0.1,0.25,0.05,0.65,0.0,0.0,0.0,181.02968083214722
2.0,0.1,0.25,0.3,0.35,0.0,0.0,0.27515686274509804,131.07165937227012
2.0,0.1,0.25,0.3,0.4,0.0,0.0,0.3323725490196078,126.61539228570061
2.0,0.1,0.25,0.3,0.45,0.0,0.0,0.33699999999999997,129.05918125332005
2.0,0.1,0.25,0.3,0.5,0.0,0.0,0.2516470588235294,144.20936408690488
2.0,0.1,0.25,0.3,0.55,0.0,0.0,0.03905882352941177,176.92662067614768
2.0,0.1,0.25,0.3,0.6,0.0,0.0,0.0020000000000000018,183.60575995404122
2.0,0.1,0.25,0.3,0.65,0.0,0.0,0.0,192.32946776061857
2.0,0.1,0.25,0.4,0.35,0.0,0.0,0.24951960784313726,133.18713702188808
2.0,0.1,0.25,0.4,0.4,0.0,0.0,0.33459803921568626,126.33160401298707
2.0,0.1,0.25,0.4,0.45,0.0,0.0,0.33742156862745093,129.603421664048
2.0,0.1,0.25,0.4,0.5,0.0,0.0,0.06822549019607844,172.64758755187688
2.0,0.1,0.25,0.4,0.55,0.0,0.0,0.01002941176470589,181.81263730795393
2.0,0.1,0.25,0.4,0.6,0.0,0.0,0.0,187.97457689405175
2.0,0.1,0.25,0.4,0.65,0.0,0.0,0.0,196.7172955774751
2.0,0.1,0.25,0.5,0.35,0.0,0.0,0.14597058823529413,139.45727270056622
2.0,0.1,0.25,0.5,0.4,0.0,0.0,0.15294117647058825,148.81475999936907
2.0,0.1,0.25,0.5,0.45,0.0,0.0,0.3263333333333333,131.23304526220429
2.0,0.1,0.25,0.5,0.5,0.0,0.0,0.019813725490196096,180.45896605521807
2.0,0.1,0.25,0.5,0.55,0.0,0.0,0.010049019607843147,182.60441392613998
2.0,0.1,0.25,0.5,0.6,0.0,0.0,0.0,191.8438344291074
2.0,0.1,0.25,0.5,0.65,0.0,0.0,0.0,201.21604452281974
