c0,eta,lambda_e,target,support_kind,sigma_star,ci_lo,ci_hi,frac_undefined,n_crossings,P_star_gt_0.60,P_star_gt_0.40,support
1.0,0.0,0.25,Y,across_config,0.6744057270919073,0.6392667812735685,0.708947961892748,0.0,1,0.999,1.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,0.25,U,across_config,0.32707287449392675,0.31794820549204994,0.3352214970406693,0.0,1,0.0,0.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,0.5,Y,across_config,0.6857679560198034,0.6369319681472208,0.7206852543011228,0.0,1,0.999,1.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,0.5,U,across_config,0.3172742668687043,0.3050096136126095,0.32743084071326645,0.0,1,0.0,0.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,1.0,Y,across_config,0.6540142777288407,0.6163766892066109,0.6907509707455778,0.0,1,0.998,1.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,1.0,U,across_config,0.31407851962990696,0.29966166244252485,0.3250237524204735,0.0,1,0.0,0.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,1.0,Y,natural_anchor,0.6540142777288407,0.6163766892066109,0.6907509707455778,0.0,1,0.998,1.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,1.0,U,natural_anchor,0.31407851962990696,0.29966166244252485,0.3250237524204735,0.0,1,0.0,0.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,0.25,Y,across_config,0.7207435736868749,0.6844665394430454,0.753770503490692,0.0,1,1.0,1.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,0.25,U,across_config,0.3713431646074129,0.35815262709167195,0.38554497479594285,0.0,1,0.0,0.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,0.5,Y,across_config,0.713118346316281,0.6671832001740011,0.7522181787255654,0.0,1,1.0,1.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,0.5,U,across_config,0.374577618763665,0.3572011157639602,0.3950968594132297,0.0,1,0.0,0.011,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,1.0,Y,across_config,0.7246308936670626,0.697264016238767,0.7448608130047202,0.0,2,1.0,1.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,1.0,U,across_config,0.3727734705844029,0.35789567965003877,0.38747059349480917,0.0,1,0.0,0.0005,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
