c0,eta,lambda_e,sigma,rho,Y,U,Wage_Rate,Wage_Floor_Binding,collapsed,floored,binding,frac_seeds_collapsed,mixed_basin
1.0,0.0,0.25,0.05,0.35,54.90551091994981,0.6933333333333334,0.9,0.0,False,False,capital,0.3333333333333333,True
1.0,0.0,0.25,0.05,0.4,86.15383064507391,0.5254248366013073,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.05,0.45,99.5175563924476,0.45333333333333337,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.05,0.5,98.31651495503105,0.4599999999999999,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.05,0.55,102.56950915642047,0.4366666666666667,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.05,0.6,108.64041387775372,0.4033333333333333,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.05,0.65,118.95870033667074,0.3466666666666667,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.3,0.35,89.29437558712613,0.49039215686274495,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.3,0.4,87.2047638112086,0.5341830065359477,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.3,0.45,89.84965863948548,0.5344444444444445,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.3,0.5,91.7808504204034,0.5333333333333334,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.3,0.55,92.23960310449824,0.5366013071895425,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.3,0.6,94.49042949011675,0.529607843137255,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.3,0.65,105.18420121206809,0.4824836601307189,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.4,0.35,91.8558232930681,0.47411764705882353,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.4,0.4,87.17807920051253,0.5328758169934641,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.4,0.45,89.53459358048148,0.5401960784313726,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.4,0.5,90.62328575037556,0.5464052287581699,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.4,0.55,90.81122987907037,0.5537254901960784,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.4,0.6,94.59969503417638,0.5427450980392158,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.4,0.65,95.89265911343726,0.5413071895424837,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.5,0.35,93.58708112830732,0.461437908496732,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.5,0.4,88.36444663954785,0.5254248366013071,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.5,0.45,86.8969272168721,0.554640522875817,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.5,0.5,87.26128167271787,0.5677777777777778,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.5,0.55,90.81932415955343,0.5618300653594771,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.5,0.6,93.54523503963259,0.5580392156862746,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.5,0.65,94.81612792960298,0.5590849673202615,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.6,0.35,91.31148848067384,0.47823529411764704,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.6,0.4,88.93960181493556,0.5194117647058825,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.6,0.45,87.70003264384609,0.5479084967320261,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.6,0.5,88.03257101679078,0.5611764705882354,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.6,0.55,88.31411633193154,0.5782352941176472,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.6,0.6,91.95764304048856,0.5727450980392157,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.6,0.65,93.56285034193247,0.5738562091503269,0.9,0.0,False,False,demand,0.0,False
