c0,eta,rr,target,support_kind,sigma_star,ci_lo,ci_hi,frac_undefined,n_crossings,P_star_gt_0.60,P_star_gt_0.40,support
1.0,0.0,0.0,Y,across_config,0.8300131724758923,0.7662204062498617,0.8656039161160756,0.0,1,1.0,1.0,"[0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,0.0,U,across_config,0.3992726703945574,0.3869107243876992,0.41767440913254195,0.0,1,0.0,0.4555,"[0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,0.0,Y,natural_anchor,0.6540142777288407,0.6163766892066109,0.6907509707455778,0.0,1,0.998,1.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,0.0,U,natural_anchor,0.31407851962990696,0.29966166244252485,0.3250237524204735,0.0,1,0.0,0.0,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,0.5,Y,across_config,,,,1.0,0,,,"[0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.0,0.5,U,across_config,0.4309052183173594,0.4230381493852179,0.43674675454800427,0.0,1,0.0,1.0,"[0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,0.0,Y,across_config,0.8331789863785745,0.7900279232518828,0.8873132993388514,0.0,1,1.0,1.0,"[0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,0.0,U,across_config,0.46164330218068594,0.44886254979197954,0.4782669234552018,0.0,1,0.0,1.0,"[0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,0.5,Y,across_config,,1.4997041196622083,1.4998906070553946,0.999,0,1.0,1.0,"[0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
1.0,0.1,0.5,U,across_config,0.46060132986412333,0.45359346462653993,0.4676512744246696,0.0,1,0.0,1.0,"[0.4, 0.45, 0.5, 0.55, 0.6, 0.65]"
