sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Tax_Rate,Tax_At_Cap,Dead_Firms,TopK_Share,scenario,spread,c0,eta,benefit_replacement_rate
1.0,0.4,0,132.0273730829384,417.3425057709366,20.871097434713548,111.15627564822485,74.29411764705883,0.25705882352941173,0.5063607561330611,0.6666666666666666,0.49363924386693886,0.5168524237146247,0.9101928543023493,0.17996726711517724,0.17996726711517724,161.00056272670315,161.00056272670315,0.5766532218283351,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.36606516542120954,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,1,131.04746149829248,419.57156091564485,20.778228579843134,110.26923291844936,73.27450980392157,0.2672549019607844,0.5030933275086262,0.6666666666666666,0.49690667249137377,0.5246946053166939,0.9085926692552317,0.1874972447253835,0.1874972447253835,161.28259672417192,161.28259672417192,0.5687989056254464,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.35082715479828236,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,2,132.34202585484996,419.4793008644406,20.982911803166292,111.3591140516837,74.3529411764706,0.2564705882352941,0.5056353893156543,0.6666666666666666,0.4943646106843456,0.5166474802412843,0.9093772457975021,0.1794074015341212,0.1794074015341212,161.27611402476384,161.27611402476384,0.5750411977022136,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.35005737828069394,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,3,133.84524856632544,426.14115868343004,21.391946400223194,112.45330216610222,75.05882352941177,0.24941176470588233,0.5046126726424375,0.6666666666666666,0.4953873273575624,0.5109946989666873,0.9045032140614391,0.17442354466426252,0.17442354466426252,162.12405944479266,162.12405944479266,0.572620635559386,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3283725155946844,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,4,132.6772185050522,416.8215594549905,20.938511056932942,111.73870744811924,74.92156862745098,0.25078431372549015,0.5081758081955187,0.6666666666666666,0.49182419180448134,0.5117634410179047,0.9095512117274734,0.17557490918392196,0.17557490918392196,160.9342571206037,160.9342571206037,0.5802769544352829,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.36599279923015127,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,5,132.8852785656796,417.96942569297096,21.02586896325219,111.85940960242742,75.0,0.24999999999999997,0.5078002107625087,0.6666666666666666,0.4921997892374912,0.5102109150301564,0.9064286430180843,0.1750262242734916,0.1750262242734916,161.08026607837496,161.08026607837496,0.5798661563165447,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3424756984682018,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,6,130.94941851674412,410.05988291532094,20.50299414420434,110.44642437253977,74.0,0.26,0.508593323699899,0.6666666666666666,0.491406676300101,0.517186893317742,0.9079400697343396,0.18187220708281215,0.18187220708281215,160.05985819137064,160.05985819137064,0.5820011300522482,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3378378378378379,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,7,131.49023486311827,416.3554973333504,20.75971071321205,110.73052414990623,73.94117647058823,0.2605882352941177,0.5059609964103686,0.6666666666666666,0.49403900358963126,0.5189979222616555,0.9089626268312702,0.1826485340967907,0.1826485340967907,160.8726899699183,160.8726899699183,0.5753742956625073,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.34938504606879933,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,8,131.8042741782161,421.8944819345641,20.938918460135866,110.86535571808025,73.70588235294117,0.26294117647058823,0.5031837820628722,0.6666666666666666,0.49681621793712777,0.5220461796179877,0.908894411386109,0.18433481879002728,0.18433481879002728,161.58334105438627,161.58334105438627,0.5690927806530919,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3494753396452341,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,9,132.22231346790585,422.1344689954435,21.10672345308944,111.11559001481643,74.0,0.26,0.5036971313935278,0.6666666666666666,0.4963028686064722,0.519214659795264,0.9074647735829047,0.18187220708616128,0.18187220708616128,161.6157214229133,161.6157214229133,0.5708493003916549,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3378378378378379,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,10,132.35876728937168,413.8458565526604,20.86314159288433,111.49562569648734,74.90196078431373,0.25098039215686274,0.5092715038423448,0.6666666666666666,0.49072849615765524,0.5105759089009868,0.9082418790911172,0.17560814587517865,0.17560814587517865,160.55022166120932,160.55022166120932,0.5835628731944802,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3395584448748395,S1_anchor,0.0,2.0,0.0,0.0
