point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
0,1.0,0.0,152.77978684960306,12.137366469002405,152.77978684960306,12.137366469002405,5,0.0,0.0,118.09166885119944,723.1424952817146,21.648165139518163,0.39603921568627454,0.438347148651717,0.5616528513482829,0.4381614618518378,45.37749185175261,0.2112627308562906,96.4435037116813,60.39607843137255,0.857108321116766,0.0,148.64762622112008,1449.977779109434,43.48831484582466,0.2736078431372549,0.43734381753721446,0.5626561824627855,0.2819148933735101,46.0780552888261,0.13978543666284843,105.15931137529542,72.63921568627451,0.8949693452266579,0.0
1,1.0,0.0,88.60808295133924,12.159387616949015,88.60808295133924,12.159387616949015,5,0.0,0.0,85.76353527347177,528.2530420911648,15.848438746101348,0.5617254901960784,0.420504761497521,0.5794952385024791,0.426479720633822,27.871723052315,0.39687024842196605,69.91509652737042,43.82745098039216,0.8228479294478855,0.0,103.48515186373962,1031.4490799797052,30.960934491873026,0.4949411764705881,0.4075477605809625,0.5924522394190375,0.2655175164451197,28.2069335499028,0.34205756646119667,72.52421737186657,50.505882352941185,0.8350500797319176,0.0
2,1.0,0.0,86.6838137530086,17.937298540035233,86.6838137530086,17.937298540035233,5,0.0,0.0,87.52915111647098,513.2681849028796,15.400880302305817,0.5493725490196079,0.446379403785485,0.5536205962145149,0.46067694076301224,27.810392393553478,0.3963939655345218,72.12827081416518,45.062745098039215,0.8670428418369689,0.0,104.8659138670727,1012.2848444180323,30.37251954235122,0.48713725490196075,0.42661053625580303,0.5733894637441969,0.2808922194404705,28.173253421160997,0.3424826524071166,74.49339432472149,51.286274509803924,0.8722800315913284,0.0
3,0.0,1.0,548.3610995973215,4.4397192746744345,,,5,,0.0,0.0,1.970165742174143e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,109.67221991946433,401.28901080655265,28.10648265011318,0.3685098039215686,0.5093296758678842,0.49067032413211564,0.7466849482114053,29.615898572861205,0.23992509512939467,81.56573726935116,63.14901960784314,0.8845899036030394,0.0
4,0.0,1.0,548.3610995973215,4.4397192746744345,,,5,,0.0,0.0,1.971137116282949e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,109.67221991946433,401.28901080655265,28.10648265011318,0.3685098039215686,0.5093296758678842,0.49067032413211564,0.7466849482114053,29.615898572861205,0.23992509512939467,81.56573726935116,63.14901960784314,0.8845899036030394,0.0
5,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,1.31297812791398e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,0.0,2.0339377068401567e-58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0
6,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,1.666513820664107e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,0.0,5.013693434209426e-57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0
7,0.0,1.0,691.6445092014848,7.7495180723209165,,,5,,0.0,0.0,1.4997760690506436e-58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,138.328901840297,630.9045653802079,44.115896867177,0.3920392156862745,0.3875493303283954,0.6124506696716046,0.5194931681791026,41.97217819622556,0.22031753400347656,94.21300497311998,60.79607843137255,0.8818313595551073,0.0
8,0.0,1.0,689.3026237957232,9.407425652216947,,,5,,0.0,0.0,9.727144081143221e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,137.8605247591447,625.6796697871399,43.708111222484305,0.39298039215686276,0.38821515741947704,0.611784842580523,0.5220163276465644,35.0827385239386,0.2210113485983245,94.15241353666039,60.70196078431373,0.8817363196028593,0.0
9,0.0,1.0,689.3026237957232,9.407425652216947,,,5,,0.0,0.0,1.631705133284947e-58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,137.8605247591447,625.6796697871399,43.708111222484305,0.39298039215686276,0.38821515741947704,0.611784842580523,0.5220163276465644,35.0827385239386,0.2210113485983245,94.15241353666039,60.70196078431373,0.8817363196028593,0.0
