qoi,parameter,estimator,S1,S1_conf,ST,ST_conf,n_points,N,tag
slope_raw,sigma,saltelli,0.029930529423878357,0.024904009763013817,0.0240257655915821,0.02277704300877394,3328,256,sobol
slope_raw,eta,saltelli,0.009542795000890813,0.03168263264398288,0.0370509284097551,0.022853618428929225,3328,256,sobol
slope_raw,benefit_replacement_rate,saltelli,-0.012008310385599128,0.03356105139189846,0.050253279088265,0.03229082579469487,3328,256,sobol
slope_raw,pi0,saltelli,0.000812634696013125,0.13403828099059556,0.5620950312412796,0.12393313443220656,3328,256,sobol
slope_raw,pct_capitalists,saltelli,-0.01703233765325558,0.040011441526947425,0.0588271721007998,0.03831208234151741,3328,256,sobol
slope_raw,delta,saltelli,0.3308748070174378,0.1644007271606932,0.9656325250362902,0.14373143021747561,3328,256,sobol
slope_raw,c1,saltelli,0.006624736187525673,0.009894250417049387,0.001874062924839135,0.002614748653753596,3328,256,sobol
slope_raw,wealth_effect,saltelli,0.03946774297098501,0.08093482301592114,0.26365229070061136,0.09083473392365816,3328,256,sobol
slope_raw,capitalist_mpc,saltelli,0.022682230514268435,0.087423932407703,0.1870307164970069,0.07704831694822048,3328,256,sobol
slope_raw,beta,saltelli,0.007506453306070464,0.05458302361705242,0.05244077928957764,0.03364691513106801,3328,256,sobol
slope_raw,c0,saltelli,-0.02945896195715607,0.09225019530204139,0.27648756280662934,0.08544641040162008,3328,256,sobol
viable,sigma,saltelli,0.007554136607106111,0.014740782723534733,0.007826951005121152,0.015273139758382188,3328,256,sobol
viable,eta,saltelli,0.007554136607106111,0.026504261266937827,0.023480853015363456,0.025441218155126212,3328,256,sobol
viable,benefit_replacement_rate,saltelli,0.022662409821318338,0.024885081097129846,0.023480853015363456,0.025783795109354957,3328,256,sobol
viable,pi0,saltelli,0.11604019308674209,0.08906353583133662,0.2895971871894826,0.08714892683807748,3328,256,sobol
viable,pct_capitalists,saltelli,0.015653902010242304,0.020904992530756863,0.015653902010242304,0.020868253474152564,3328,256,sobol
viable,delta,saltelli,0.7184426060830558,0.14856772830055,1.0018497286555073,0.11767267474577017,3328,256,sobol
viable,c1,saltelli,0.008099765403136193,0.01605306080669678,0.007826951005121152,0.015512365378828942,3328,256,sobol
viable,wealth_effect,saltelli,0.03831631183156063,0.04874916690391086,0.08609646105633267,0.048735873384753686,3328,256,sobol
viable,capitalist_mpc,saltelli,0.007554136607106111,0.03998974274336127,0.05478865703584806,0.04007149309498923,3328,256,sobol
viable,beta,saltelli,0.007554136607106111,0.025190192588695228,0.023480853015363456,0.026627508901791573,3328,256,sobol
viable,c0,saltelli,0.06907848705601516,0.048134465598027774,0.08609646105633266,0.04854727318989696,3328,256,sobol
slope|viable,sigma,rbd_fast,0.019821746559950677,,,,1606,256,sobol
slope|viable,eta,rbd_fast,0.012103219801056385,,,,1606,256,sobol
slope|viable,benefit_replacement_rate,rbd_fast,0.06968466687170406,,,,1606,256,sobol
slope|viable,pi0,rbd_fast,0.00779483642681314,,,,1606,256,sobol
slope|viable,pct_capitalists,rbd_fast,0.035009620521440014,,,,1606,256,sobol
slope|viable,delta,rbd_fast,0.08393035661114753,,,,1606,256,sobol
slope|viable,c1,rbd_fast,0.004853538563267644,,,,1606,256,sobol
slope|viable,wealth_effect,rbd_fast,0.05995534765814678,,,,1606,256,sobol
slope|viable,capitalist_mpc,rbd_fast,0.045850226438256314,,,,1606,256,sobol
slope|viable,beta,rbd_fast,0.3702517246349241,,,,1606,256,sobol
slope|viable,c0,rbd_fast,0.1063027737794145,,,,1606,256,sobol
