parameter,bin_lo,bin_hi,n_points,frac_viable,n_viable,P_wage_led_given_viable,mean_slope_viable,mean_capitalist_consumption,mean_profit_level,mean_profit_share,mean_output
capitalist_mpc,0.2001554136164486,0.2750812535407021,416,0.5384615384615384,224,0.13839285714285715,38.474085553271784,38.804112298883446,53.03977101273652,0.5733682115459706,92.93328386739361
capitalist_mpc,0.2750812535407021,0.3500070934649556,416,0.4951923076923077,206,0.24271844660194175,20.674918274455216,41.29077549923538,54.105760492196424,0.5739770653985696,94.50489882854139
capitalist_mpc,0.3500070934649556,0.4249329333892092,416,0.47596153846153844,198,0.19696969696969696,43.25313124542365,44.74374183343657,58.14330474372253,0.5677558364480735,103.69296207909315
capitalist_mpc,0.4249329333892092,0.4998587733134627,416,0.4230769230769231,176,0.23863636363636365,49.82212428723603,50.2167820096933,64.44142181918953,0.5583769993588468,117.27328631716942
beta,0.0018623871728777,0.2511195859406143,416,0.4230769230769231,176,0.022727272727272728,92.29926199856074,45.035552239847675,62.345298945186414,0.5994297787516648,105.3514817942665
beta,0.2511195859406143,0.5003767847083509,416,0.47115384615384615,196,0.03571428571428571,44.47988049611992,41.764891697571564,56.41722315659244,0.5897467108205512,95.75657599503084
beta,0.5003767847083509,0.7496339834760875,416,0.5144230769230769,214,0.2570093457943925,12.105456259774957,42.67289600896454,55.43393420320745,0.5506628107432631,101.82193991621094
beta,0.7496339834760875,0.998891182243824,416,0.5240384615384616,218,0.44036697247706424,12.186916793761666,44.27183353973948,54.98784254655292,0.5432657086334817,102.55194860354065
sigma,0.3005237669683993,0.47483217343688006,416,0.5192307692307693,216,0.041666666666666664,53.6840037965491,43.399251180448154,57.23248549081096,0.5573069909422619,104.28843745330906
sigma,0.47483217343688006,0.6491405799053609,416,0.4639423076923077,193,0.05699481865284974,46.709719403585886,44.39343645265653,59.145103989277736,0.5783432643304133,103.56505957978987
sigma,0.6491405799053609,0.8234489863738417,416,0.46875,195,0.3384615384615385,27.196567267013837,41.994268311473185,55.33198744693925,0.5723698965751055,97.92735333880715
sigma,0.8234489863738417,0.9977573928423225,416,0.4807692307692308,200,0.38,21.479954538018482,43.821908067210295,56.56900229790468,0.5687653623541721,99.23088369288176
delta,0.0302692594192922,0.04515281139872965,416,0.9879807692307693,411,0.1630170316301703,46.05234936599834,44.02258179354628,58.08418919772351,0.5927495849052844,99.37618471220142
delta,0.04515281139872965,0.060036363378167104,416,0.7427884615384616,309,0.20388349514563106,34.932313802232166,43.104983894116025,56.40927841648874,0.5476626509680045,103.45528995572543
delta,0.060036363378167104,0.07491991535760455,405,0.2074074074074074,84,0.38095238095238093,5.814781372654981,41.460884334398415,54.49632329429135,0.5299514740130122,102.917537088381
delta,0.07491991535760455,0.089803467337042,427,0.0,0,,,,,,
