qoi,parameter,estimator,S1,S1_conf,ST,ST_conf,n_points,N,tag
slope_raw,sigma,saltelli,-0.014872844775476802,0.0926678450922736,0.09181572924505967,0.07736199601578758,1664,128,wide
slope_raw,eta,saltelli,0.06326969319606127,0.06919968298778428,0.0555822154328414,0.03856038861474032,1664,128,wide
slope_raw,benefit_replacement_rate,saltelli,-0.03875746305848956,0.07345932775960282,0.1139912441688135,0.08829551385200571,1664,128,wide
slope_raw,pi0,saltelli,-0.0582608095699932,0.21808076711332952,0.652072528481807,0.19963923196764716,1664,128,wide
slope_raw,pct_capitalists,saltelli,0.03450628547366305,0.08436204202835888,0.08593324500190827,0.08454146670889444,1664,128,wide
slope_raw,delta,saltelli,0.19144740690119808,0.26269037195981404,1.0188887490678606,0.24346284589660658,1664,128,wide
slope_raw,c1,saltelli,0.03144173767881759,0.0512800715971928,0.015163675619869994,0.021057853248193464,1664,128,wide
slope_raw,wealth_effect,saltelli,-0.03684724325764247,0.10801079786332785,0.24818106640654458,0.11895848792949007,1664,128,wide
slope_raw,capitalist_mpc,saltelli,0.022653376648976577,0.1390071063153585,0.1767351959837797,0.11031462392053921,1664,128,wide
slope_raw,beta,saltelli,0.04490944764351545,0.08575212099383005,0.050582660404088535,0.04971347416861972,1664,128,wide
slope_raw,c0,saltelli,-0.08091575406104703,0.12091802483770132,0.25798623170382246,0.1199011185957739,1664,128,wide
viable,sigma,saltelli,0.0140612076095947,0.05124897941015326,0.04692082111436949,0.052236209983792546,1664,128,wide
viable,eta,saltelli,-0.0010527107301300874,0.06038643522891195,0.06256109481915932,0.06230806664374349,1664,128,wide
viable,benefit_replacement_rate,saltelli,0.030227836679449574,0.04233762500716259,0.03128054740957966,0.04381206965915331,1664,128,wide
viable,pi0,saltelli,0.1845251522670877,0.1324211759700693,0.31280547409579657,0.1235174920165793,1664,128,wide
viable,pct_capitalists,saltelli,0.015113918339724787,0.05106164319783918,0.04692082111436949,0.05422843350569464,1664,128,wide
viable,delta,saltelli,0.7486277163696518,0.20643990254773542,0.9696969696969692,0.17769598342775367,1664,128,wide
viable,c1,saltelli,0.015113918339724787,0.029735157432754043,0.01564027370478983,0.030770710179168357,1664,128,wide
viable,wealth_effect,saltelli,-0.0021054214602601678,0.07485976297790561,0.09384164222873898,0.07551348925884703,1664,128,wide
viable,capitalist_mpc,saltelli,3.468905123662863e-18,0.060109118930336235,0.06256109481915932,0.062220131779852396,1664,128,wide
viable,beta,saltelli,0.0,0.04161161062333473,0.03128054740957966,0.04412916138068876,1664,128,wide
viable,c0,saltelli,0.015113918339724787,0.051024704800761905,0.04692082111436949,0.053135223040555825,1664,128,wide
slope|viable,sigma,rbd_fast,0.11972088338874812,,,,804,128,wide
slope|viable,eta,rbd_fast,0.034123712743332826,,,,804,128,wide
slope|viable,benefit_replacement_rate,rbd_fast,0.11192001555388209,,,,804,128,wide
slope|viable,pi0,rbd_fast,0.022356414679463726,,,,804,128,wide
slope|viable,pct_capitalists,rbd_fast,0.09149584717349418,,,,804,128,wide
slope|viable,delta,rbd_fast,0.08438243889615213,,,,804,128,wide
slope|viable,c1,rbd_fast,0.011382168614633724,,,,804,128,wide
slope|viable,wealth_effect,rbd_fast,0.07542445042952949,,,,804,128,wide
slope|viable,capitalist_mpc,rbd_fast,0.10935126875390111,,,,804,128,wide
slope|viable,beta,rbd_fast,0.43255341853885904,,,,804,128,wide
slope|viable,c0,rbd_fast,0.0957049050638521,,,,804,128,wide
