sigma,n_draws,n_viable,mean_ols_slope,mean_chord,P_wage_led_ols,P_wage_led_chord,mean_rho_star,frac_rho_star_in_support
0.05,32,14,46.427625053491525,45.1948999561954,0.0,0.0,-0.08948998039187236,0.0
0.3,32,16,40.137215932385686,32.86833170696699,0.0,0.0,0.09412834492169839,0.0625
0.4,32,16,31.013818398673102,22.52759777337835,0.0,0.0,0.5785907813648163,0.3125
0.5,32,16,24.711825506350745,19.02208779656518,0.0,0.1875,0.40075904397063256,0.375
0.6,32,16,17.071162467794124,7.87880032635011,0.1875,0.625,0.39038415563119755,0.875
0.7,32,16,14.964914446597247,8.980244562233445,0.125,0.75,0.42623319488476585,0.75
0.8,32,16,14.261949148829899,11.10527023526444,0.5625,0.8125,0.5907956781135077,0.5
0.9,32,16,13.063963683660688,8.442839289968465,0.8125,0.875,0.5949344385717602,0.625
1.0,32,14,-8.147189273852991,-13.941434728276915,0.9285714285714286,1.0,0.5789578194636579,0.8571428571428571
1.25,32,14,-16.23637310947444,-23.743232830895597,1.0,1.0,0.6124103717310965,0.9285714285714286
1.5,32,14,-28.88288455441555,-37.07235357167974,1.0,1.0,0.6790308979567587,0.35714285714285715
