point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi,sigma,draw
0,0.0,1.0,667.3187906648288,0.24960591163131693,,,3,,0.0,472.659764265381,,,0.0,0.3615477995081986,1.0,2409.924827104335,1036.0475794388642,4,0.0,9.745898203594539e-53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,94.53195285307623,295.69800123485317,18.448995784452205,0.5,0.4518439071183264,0.5481560928816736,0.9489563319593044,39.786108280944525,0.19786902306861712,76.08295706862403,50.0,0.8542723793278445,0.0,0.05,0
1,0.0,1.0,655.8640681774194,1.4648929067340006,,,3,,0.0,474.4117554234865,,,0.0,0.35759352972949143,1.0,2302.7888653217933,1091.7953807659478,4,0.0,1.0166623541747597e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7862620788715889,0.0,94.88235108469733,302.23754679186123,18.857006822435697,0.5,0.44420568460954923,0.5557943153904507,0.9313205920671758,40.145079384102694,0.19539336874006677,76.02534426226164,50.0,0.8429452038510229,0.0,0.05,1
2,0.0,1.0,572.8076292635366,0.07478898223979448,,,3,,0.0,0.0,,,0.0,0.43999999999999967,1.0,4773.396910529333,2134.7279951062537,4,0.0,8.408822226904517e-53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,0.0,2.804679894149896e-51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,0.05,2
3,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,6.690610917027232e-53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,0.0,1.5927862138011472e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,0.05,3
4,0.0,1.0,667.9609627694575,1.1027952865778674,,,3,,0.0,473.86123335758776,,,0.0,0.3612615238433627,1.0,2407.2664673614595,1042.6095671836538,4,0.0,1.092959976307272e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,94.77224667151758,320.57196824921675,20.000916022919167,0.5033333333333333,0.44745797724338293,0.552542022756617,0.8776089372438287,29.212232173847934,0.2026021710988514,74.77133064859842,49.666666666666664,0.8538218451055132,0.0,0.05,4
5,0.0,1.0,581.6094765533276,7.44226079710452,,,3,,0.0,956.2386147231704,,,0.0,0.5634109058129516,1.0,-4586.036653292841,1877.7275110693665,4,0.0,1.0817185288563661e-38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,191.24772294463415,740.8996356051863,35.55949603211621,0.0,0.6070569569047168,0.39294304309528316,0.7803766816719614,61.648635755337104,0.0,155.6882269125179,100.0,1.1609826068787754,0.0,0.05,5
6,0.0,1.0,667.3187906648288,0.24960591163131693,,,3,,0.0,472.65976426538106,,,0.0,0.3615477995081986,1.0,2409.924827104335,1036.0475794388647,4,0.0,9.74560821545777e-53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,94.53195285307625,295.69800123485334,18.44899578445221,0.5,0.4518439071183264,0.5481560928816736,0.9489563319593038,39.78610828094454,0.19786902306861712,76.08295706862403,50.0,0.8542723793278445,0.0,0.05,6
7,0.0,1.0,668.4662296757239,0.0734519555879406,,,3,,0.0,476.41193820502804,,,0.0,0.36041470965510125,1.0,2394.4723259307766,1059.7383800330488,4,0.0,1.0901622664147075e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,95.28238764100564,315.08174791945504,19.658373796402596,0.5,0.4482845449139601,0.55171545508604,0.8976304136171628,39.35896768120009,0.19906991769019178,75.62401384460304,50.0,0.8542723793278445,0.0,0.05,7
8,0.0,1.0,698.7942504884815,11.522977102582068,,,3,,0.0,749.1503355804916,,,0.0,0.07850631716787614,0.0,828.9498502007632,2979.5845084520533,4,0.0,1.3113768785628585e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,149.83006711609835,620.6186920652639,38.72123445491433,0.21666666666666665,0.4775809847234773,0.5224190152765226,0.7188765009368954,53.32949261458794,0.0628276142911709,111.10883266118405,78.33333333333333,0.9134806989903647,0.0,0.05,8
9,0.0,1.0,667.2884545639612,0.29739006124871586,,,3,,0.0,472.61410035477275,,,0.0,0.36155705921576414,1.0,2409.976452334445,1035.8202767175885,4,0.0,9.748405141512517e-53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,94.5228200709546,295.55855733805095,18.44029569228544,0.5,0.4518876064302739,0.548112393569726,0.9493134859391913,39.78570540389705,0.19787014882980594,76.08252437866916,50.0,0.8542723793278445,0.0,0.05,9
