point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
0,1.0,0.0,183.1286821463932,8.443541539341041,183.1286821463932,8.443541539341041,3,0.0,0.0,149.36817848303596,149.36817848303596,0.0,1.0,0.2334810810882402,0.0,343.55662797619954,13.308162816470883,4,118.00912451994866,724.019419708557,21.62702636759357,0.3966013071895425,0.4381819482975445,0.5618180517024555,0.43728244897647106,45.34734722783819,0.21167879012101146,96.38209815235511,60.33986928104574,0.8569833523029168,0.0,147.88276021655585,1439.301235955282,43.166515069470414,0.27725490196078434,0.43672939570906183,0.5632706042909382,0.2823000929465355,45.925982806904976,0.14203407012903882,104.71624514708547,72.27450980392156,0.8935998568341561,0.0
1,1.0,0.0,98.60980176366752,8.670314859204673,98.60980176366752,8.670314859204673,3,0.0,0.0,81.45518456483697,81.45518456483697,0.0,1.0,0.20896506549902125,0.0,169.41231115905268,4.771457868749049,4,86.52250851034876,536.7418461699498,16.097054416329602,0.5583006535947712,0.4203653794584917,0.5796346205415084,0.4234551198600623,28.236822581762386,0.39176355968555115,70.42545409401917,44.169934640522875,0.8234425105555566,0.0,102.81354542331616,1019.3329683369611,30.612827204433255,0.4980392156862745,0.40739675886471344,0.5926032411352865,0.26682036711945356,28.03122577805546,0.345505636140635,72.2007182188829,50.19607843137255,0.8344418873468135,0.0
2,1.0,0.0,104.92881837482999,6.367802755051139,104.92881837482999,6.367802755051139,3,0.0,0.0,82.69922492525383,82.69922492525383,0.0,1.0,0.22957419230367754,0.0,194.00666539323632,63.25672874721897,4,87.8397303813811,517.2434184426116,15.52084405624828,0.5480392156862745,0.4461716315348309,0.5538283684651691,0.4588566113249499,27.94070046014549,0.39448392438550856,72.31888632513282,45.19607843137255,0.8671465208179274,0.0,104.37957536643187,1003.6140035028842,30.117432805806647,0.4893464052287581,0.42665878218511816,0.5733412178148819,0.2820386701801049,28.040441532002177,0.3451156571834774,74.26214256062521,51.06535947712418,0.8720836547736289,0.0
3,0.0,1.0,476.70612350082683,8.53982554585792,,,3,,0.0,548.2272292272842,,,0.0,-0.250239015830094,0.0,317.70283432499383,2309.665676498094,4,0.0,1.9772319922544138e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0,109.64544584545689,400.93305422809186,28.064058719036257,0.3684967320261438,0.509468202443763,0.49053179755623705,0.7470700010740782,29.629794926928156,0.23984869073293366,81.58138712642064,63.15032679738562,0.8846108813448184,0.0
4,0.0,1.0,476.70612350082683,8.53982554585792,,,3,,0.0,548.2272292272842,,,0.0,-0.250239015830094,0.0,317.70283432499383,2309.665676498094,4,0.0,1.978089571141252e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0,109.64544584545689,400.93305422809186,28.064058719036257,0.3684967320261438,0.509468202443763,0.49053179755623705,0.7470700010740782,29.629794926928156,0.23984869073293366,81.58138712642064,63.15032679738562,0.8846108813448184,0.0
5,0.0,1.0,487.24270653492323,3.31527338030475,,,3,,0.0,0.0,,,0.0,0.4399999999999954,1.0,4060.355887790917,1815.846355588429,4,0.0,1.3188031828118284e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0,0.0,2.1738605768600106e-58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0
6,0.0,1.0,482.0548837483206,2.982794592807632,,,3,,0.0,0.0,,,0.0,0.44000000000000167,1.0,4017.124031235887,1796.5124815783117,4,0.0,1.682571016558559e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0,0.0,6.308855342281951e-57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0
7,0.0,1.0,483.85788245875847,5.3104397067454,,,3,,0.0,695.2630505464011,,,0.0,0.5895106679245155,1.0,-2702.794503034852,1316.4689716113091,4,0.0,1.5183732202248292e-58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0,139.05261010928027,635.8677714312183,44.47416505995403,0.38941176470588235,0.38730926169117735,0.6126907383088226,0.5182101108179488,42.19065251361514,0.2180374762889816,94.57844504932625,61.05882352941177,0.8820991766654865,0.0
8,0.0,1.0,483.7576790488122,8.495172436796702,,,3,,0.0,692.1367470492152,,,0.0,0.5900173846307531,1.0,-2687.023629009092,1348.8698802431318,4,0.0,9.54515211889295e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0,138.4273494098431,629.7338852762156,44.010227691856905,0.3909150326797386,0.3880435748772479,0.6119564251227522,0.5209932518875942,35.21505417333278,0.21933882112957392,94.41712171798616,60.908496732026144,0.8819738046014488,0.0
9,0.0,1.0,483.7576790488122,8.495172436796702,,,3,,0.0,692.1367470492152,,,0.0,0.5900173846307531,1.0,-2687.023629009092,1348.8698802431318,4,0.0,1.6620401103586032e-58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521827,0.0,138.4273494098431,629.7338852762156,44.010227691856905,0.3909150326797386,0.3880435748772479,0.6119564251227522,0.5209932518875942,35.21505417333278,0.21933882112957392,94.41712171798616,60.908496732026144,0.8819738046014488,0.0
