point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
0,0.0,1.0,685.7422199960009,9.096698898348036,,,3,,0.0,934.6230599001937,,,0.0,0.6109521886973688,1.0,-3090.2599941782864,1344.8866519008532,4,0.0,5.165721855532898e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,186.9246119800388,588.3277793904018,36.700760121271365,0.016405228758169948,0.6006270081753263,0.3993729918246736,0.9339404345588062,59.512174968453394,0.0038306577241665773,150.22385185876746,98.35947712418302,1.1400807532721118,0.0
1,0.0,1.0,677.3198839360767,12.177785378480593,,,3,,0.0,934.8387697214444,,,0.0,0.6056216117475473,1.0,-3206.350825033078,1411.3210634257998,4,0.0,4.565330489437024e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,186.96775394428892,590.5000303953284,36.88237945590521,0.018496732026143808,0.5993203559550234,0.4006796440449765,0.9324260939760678,59.56582332688159,0.004300851601346326,150.08537448838374,98.15032679738562,1.1405361754821004,0.0
2,0.0,1.0,698.9869091682012,11.860844441877887,,,3,,0.0,960.0080846187234,,,0.0,0.6075145814373188,1.0,-3250.6609793002854,1432.0880027790838,4,0.0,4.545162807092932e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7987053855444066,0.0,192.0016169237447,818.3978405813531,51.045721616934514,0.10915032679738566,0.4613523262610692,0.5386476737389309,0.6266997674693114,69.16354452337092,0.023107207731756008,140.95589530681022,89.08496732026144,0.993822390512514,0.0
3,0.0,1.0,532.2725084937956,101.86059444218525,,,3,,0.0,447.47821464053413,,,0.0,0.3167630839771856,0.0,1452.4161398446786,1351.643168710798,4,0.0,1.7272709265200897e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,89.49564292810685,248.29361428685033,15.49362173602585,0.44339869281045746,0.3933608374162363,0.2733058292504303,0.6485428398162365,31.791574303590306,0.0287627488783874,74.00202119208099,55.66013071895426,0.8923217859987864,0.0
4,0.0,1.0,688.1801782336582,7.681878500813786,,,3,,0.0,930.75199566428,,,0.0,0.6150571937297675,1.0,-2990.6003958777655,1263.115046715268,4,0.0,5.105828246873922e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,186.15039913285605,584.0701904479862,36.434881243541724,0.018627450980392174,0.6033603239383014,0.3966396760616986,0.9392958761488114,52.210806117222745,0.004352821648327795,149.71551788931433,98.13725490196079,1.1428307675139449,0.0
5,0.0,1.0,717.6663748197294,4.115005344271179,,,3,,0.0,1030.2603742611375,,,0.0,0.6044268495351157,1.0,-3436.215772162943,693.7977308181502,4,0.0,7.043412111583555e-50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,206.0520748522276,768.5658117564294,46.307348933960476,0.0,0.5577551746705106,0.44224482532948944,0.7878643407417493,66.65497558804867,0.0,159.74472591826714,100.0,1.1492649483934572,0.0
6,0.0,1.0,685.5433159650719,9.076729521389007,,,3,,0.0,934.1889181289845,,,0.0,0.6108973555933105,1.0,-3090.891177239457,1351.5580959132146,4,0.0,5.165153281470311e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,186.83778362579696,588.6396943914119,36.73929554896214,0.017450980392156878,0.6003459426415184,0.3996540573584817,0.9330729791020879,59.519354906009234,0.00406997030142234,150.09848807683477,98.25490196078431,1.140222227873793,0.0
7,0.0,1.0,450.1294090352985,4.997469355351493,,,3,,0.0,656.4835871880474,,,0.0,0.5851044697206086,1.0,-2644.569730079642,1299.2179897899944,4,0.0,2.0839886866348764e-50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,131.29671743760952,607.4639097164244,37.96878624599017,0.4066013071895425,0.3875491309275529,0.6124508690724472,0.5272207980495577,52.13847392403225,0.11218195283197534,93.32793119161931,59.33986928104576,0.8575444821918525,0.0
8,0.0,1.0,455.3309732854605,5.590082859248414,,,3,,0.0,673.259072486006,,,0.0,0.582204087015518,1.0,-2769.5154208054787,1319.804305457791,4,0.0,5.166325818753114e-51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,134.65181449720123,627.9303975155303,39.08309318194856,0.39281045751633986,0.38814637480301456,0.6118536251969854,0.5239906603288788,53.304929724159756,0.10625783620725249,95.56872131525267,60.71895424836601,0.8608265073263023,0.0
9,0.0,1.0,684.0269264321929,8.865086372075517,,,3,,0.0,937.0668645584745,,,0.0,0.6107381760324243,1.0,-3088.487416624373,1247.9227844977909,4,0.0,5.240081499033128e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,187.41337291169498,591.4035914114405,36.91400965591951,0.016732026143790865,0.6005648071249096,0.3994351928750904,0.9313581715347153,59.53067056188019,0.003883653154085816,150.49936325577548,98.32679738562092,1.1438181762287298,0.0
