point,sigma,delta,pi0,c0,beta,viable,n_rho,quad_coef,quad_coef_se,convex,curvature_resolved,rho_star,rho_star_committed,rho_star_in_support,rho_star_resolved,rho_anchored_max,anchored_left_of_turn
0,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-3090.259994178228,1344.8866519008686,False,False,0.6109521886973709,0.6109521886973688,True,False,0.36322167826597684,
1,0.4257059482857585,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-3206.350825033078,1411.3210634257998,False,False,0.6056216117475473,0.6056216117475473,True,False,0.36322167826597684,
2,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-3250.6609793002854,1432.0880027790838,False,False,0.6075145814373188,0.6075145814373188,True,False,0.36322167826597684,
3,0.4599203189834952,0.0623913442343473,0.3231315625831484,1.5582287684082985,0.2192886574193835,0.0,4,1452.4161398446786,1351.643168710798,True,False,0.3167630839771856,0.3167630839771856,False,False,0.36322167826597684,
4,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-2990.6003958777655,1263.115046715268,False,False,0.6150571937297675,0.6150571937297675,True,False,0.36322167826597684,
5,0.4599203189834952,0.0602571453340351,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-3436.215772162943,693.7977308181502,False,False,0.6044268495351157,0.6044268495351157,True,False,0.36322167826597684,
6,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-3090.891177239457,1351.5580959132146,False,False,0.6108973555933105,0.6108973555933105,True,False,0.36322167826597684,
7,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-2644.569730079642,1299.2179897899944,False,False,0.5851044697206086,0.5851044697206086,True,False,0.36322167826597684,
8,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-2769.51542080555,1319.8043054577904,False,False,0.5822040870155158,0.582204087015518,True,False,0.36322167826597684,
9,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.299917072057724,0.0,4,-3088.487416624373,1247.9227844977909,False,False,0.6107381760324243,0.6107381760324243,True,False,0.36322167826597684,
10,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.5582287684082985,0.2192886574193835,0.0,4,-3353.7217479204655,890.1884631630477,False,False,0.6047539754600783,0.6047539754600783,True,False,0.36322167826597684,
11,0.4599203189834952,0.0623913442343473,0.3605065739713609,1.9595316760241983,0.2192886574193835,0.0,4,800.203953010264,3706.722126243372,True,False,-0.01431850551612711,-0.0143185055161634,False,False,0.36322167826597684,
12,0.4257059482857585,0.0602571453340351,0.3231315625831484,1.9595316760241983,0.299917072057724,0.0,4,-2527.887781947484,1215.1065993067555,False,False,0.578003077130681,0.578003077130681,True,False,0.36322167826597684,
13,0.546431009285152,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,10.072891832405196,21.411270344591852,True,False,-0.024418177010023568,-0.0244181770100235,False,False,0.36322167826597684,
14,0.5035971077159047,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,18.13503012238,14.805105221184105,True,False,0.09773506273215778,0.0977350627321577,False,False,0.36322167826597684,
15,0.546431009285152,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,79.41855744856542,6.4926512155541465,True,True,0.4240042684288319,0.4240042684288319,True,True,0.36322167826597684,1.0
16,0.546431009285152,0.0404559165425598,0.3845604471862316,0.7805222701281309,0.9254198456183076,1.0,4,53.905858068114014,15.140466993700304,True,True,0.36986073929660085,0.3698607392966008,True,True,0.36322167826597684,1.0
17,0.546431009285152,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,41.42172828622861,18.2531277833986,True,True,0.3470839527040722,0.3470839527040722,False,False,0.36322167826597684,
18,0.546431009285152,0.0421333967149257,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,30.663702554213586,36.89331657662787,True,False,0.32731103166603864,0.3273110316660386,False,False,0.36322167826597684,
19,0.546431009285152,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,25.097942189671475,24.207700010660773,True,False,0.20779796665643852,0.2077979666564385,False,False,0.36322167826597684,
20,0.546431009285152,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,77.35078583273473,16.240181486229112,True,True,0.3816170981790406,0.3816170981789862,True,True,0.36322167826597684,1.0
21,0.546431009285152,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,-3.6224519028665756,10.461625263820173,False,False,2.8867431822623324,2.8867431822623324,False,False,0.36322167826597684,
22,0.546431009285152,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.7296525035053492,1.0,4,39.383581754640886,21.810246160519885,True,False,0.2452553245375925,0.2452553245375925,False,False,0.36322167826597684,
23,0.546431009285152,0.0404559165425598,0.3370463959872722,0.7805222701281309,0.9254198456183076,1.0,4,31.287606961651775,12.712869516992209,True,True,0.41707948533347655,0.4170794853334765,True,True,0.36322167826597684,1.0
24,0.546431009285152,0.0404559165425598,0.3370463959872722,1.431772757321596,0.9254198456183076,1.0,4,78.02716447596215,23.674735239311964,True,True,0.4148944036113449,0.4148944036113449,True,True,0.36322167826597684,1.0
25,0.5035971077159047,0.0421333967149257,0.3845604471862316,1.431772757321596,0.7296525035053492,1.0,4,-9.330741184052503,19.76003536548426,False,False,2.6963137362531766,2.6963137362531766,False,False,0.36322167826597684,
26,0.5961419619619845,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.623860620893538,1.0,4,56.721676114741655,30.310929740342818,True,False,0.17284882640648744,0.1728488264064874,False,False,0.36322167826597684,
27,0.5710611844435334,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.623860620893538,1.0,4,44.02990847623619,11.737972160561023,True,True,0.0911532262822102,0.0911532262822102,False,False,0.36322167826597684,
28,0.5961419619619845,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.623860620893538,1.0,4,79.01660098204677,28.844762093630543,True,True,0.2866702703829833,0.2866702703829833,False,False,0.36322167826597684,
29,0.5961419619619845,0.0482433729618787,0.3420885175466537,1.1624239850789309,0.623860620893538,1.0,4,110.90210465667509,3.295760546847594,True,True,0.3941214756914589,0.3941214756912953,True,True,0.36322167826597684,1.0
30,0.5961419619619845,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.623860620893538,1.0,4,108.58125077374729,34.91062767655572,True,True,0.36136648830208346,0.3613664883020834,True,True,0.36322167826597684,0.0
31,0.5961419619619845,0.0872779731452465,0.3995815217494964,1.1624239850789309,0.623860620893538,0.0,4,-2646.8170232247576,1280.6151272850586,False,False,0.5660758968411481,0.5660758968411481,True,False,0.36322167826597684,
32,0.5961419619619845,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.623860620893538,1.0,4,70.22259830248534,8.785136041948716,True,True,0.22108962212851863,0.2210896221285186,False,False,0.36322167826597684,
33,0.5961419619619845,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.623860620893538,1.0,4,64.84191035668594,14.767878094678737,True,True,0.318805531509183,0.318805531509183,False,False,0.36322167826597684,
34,0.5961419619619845,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.623860620893538,1.0,4,11.683315347722264,50.101960887530794,True,False,-1.579831709305869,-1.579831709305869,False,False,0.36322167826597684,
35,0.5961419619619845,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.0158664342015981,1.0,4,369.01537276313996,104.10148841072873,True,True,0.31431883048067183,0.3143188304806718,False,False,0.36322167826597684,
36,0.5961419619619845,0.0482433729618787,0.3995815217494964,1.1624239850789309,0.623860620893538,1.0,4,30.70856786400064,12.20027159683854,True,True,-0.19491609781060193,-0.1949160978106019,False,False,0.36322167826597684,
37,0.5961419619619845,0.0482433729618787,0.3995815217494964,0.6891368888318539,0.623860620893538,1.0,4,74.63798992171537,9.649836059764555,True,True,0.3309166395854744,0.3309166395854744,False,False,0.36322167826597684,
38,0.5710611844435334,0.0872779731452465,0.3420885175466537,0.6891368888318539,0.0158664342015981,0.0,4,263.9299042910576,2436.176927975403,True,False,-0.4255915116253733,-0.4255915116253733,False,False,0.36322167826597684,
39,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
40,0.4988546883687377,0.0851898002810776,0.3229958563111722,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
41,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
42,0.4100219681859016,0.0851898002810776,0.3534929832443595,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
43,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
44,0.4100219681859016,0.0465810390003025,0.3229958563111722,2.377636212855577,0.2948957635089755,1.0,4,396.8231421554872,44.95339315242758,True,True,0.3776488525736114,0.3776488525736114,True,True,0.36322167826597684,1.0
45,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
46,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
47,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
48,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.377636212855577,0.9453438930213452,0.0,4,,,False,False,,,False,False,0.36322167826597684,
49,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.377636212855577,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
50,0.4100219681859016,0.0851898002810776,0.3229958563111722,2.168948207050562,0.2948957635089755,0.0,4,,,False,False,,,False,False,0.36322167826597684,
51,0.4988546883687377,0.0465810390003025,0.3534929832443595,2.168948207050562,0.9453438930213452,1.0,4,129.92859937147293,23.06742294518736,True,True,0.48131738119097695,0.4813173811909769,True,True,0.36322167826597684,1.0
52,0.439887672662735,0.0820381996035575,0.341383755300194,1.3472398202866316,0.6977617871016264,0.0,4,177.8711792994495,2418.9490070945735,True,False,-0.8163711817220128,-0.8163711817220128,False,False,0.36322167826597684,
53,0.4523544047027826,0.0820381996035575,0.341383755300194,1.3472398202866316,0.6977617871016264,0.0,4,135.8196539122384,2450.1979595796165,True,False,-1.2135541619009722,-1.2135541619009722,False,False,0.36322167826597684,
54,0.439887672662735,0.0820381996035575,0.341383755300194,1.3472398202866316,0.6977617871016264,0.0,4,132.59246333299188,2528.154367227932,True,False,-1.3054136805762726,-1.3054136805762726,False,False,0.36322167826597684,
55,0.439887672662735,0.0820381996035575,0.3905754148960114,1.3472398202866316,0.6977617871016264,0.0,4,-2240.813352780709,1048.7092171556592,False,False,0.5701234999096231,0.5701234999096256,True,False,0.36322167826597684,
56,0.439887672662735,0.0820381996035575,0.341383755300194,1.3472398202866316,0.6977617871016264,0.0,4,583.2464565169809,2623.868973985873,True,False,-0.002378742250565673,-0.0023787422505656,False,False,0.36322167826597684,
57,0.439887672662735,0.0592283148318529,0.341383755300194,1.3472398202866316,0.6977617871016264,1.0,4,163.28831494882462,30.620741223641634,True,True,0.4227439580983763,0.4227439580983763,True,True,0.36322167826597684,1.0
58,0.439887672662735,0.0820381996035575,0.341383755300194,1.3472398202866316,0.6977617871016264,0.0,4,159.8621713043157,2433.1787507246463,True,False,-0.9613609883157079,-0.961360988315708,False,False,0.36322167826597684,
59,0.439887672662735,0.0820381996035575,0.341383755300194,1.3472398202866316,0.6977617871016264,0.0,4,791.866283459832,2352.2763256046874,True,False,0.13430616376622134,0.1343061637662213,False,False,0.36322167826597684,
60,0.439887672662735,0.0820381996035575,0.341383755300194,1.3472398202866316,0.6977617871016264,0.0,4,1236.7697977960322,1493.0253466197994,True,False,0.29202497754645296,0.2920249775464529,False,False,0.36322167826597684,
61,0.439887672662735,0.0820381996035575,0.341383755300194,1.3472398202866316,0.410247839987278,0.0,4,227.29322804512415,2417.3990717183533,True,False,-0.5512766745578755,-0.5512766745578755,False,False,0.36322167826597684,
62,0.439887672662735,0.0820381996035575,0.341383755300194,1.3472398202866316,0.6977617871016264,0.0,4,77.68794467078295,2481.5761477338856,True,False,-2.4570574140889025,-2.4570574140889025,False,False,0.36322167826597684,
63,0.439887672662735,0.0820381996035575,0.341383755300194,1.6653231848031282,0.6977617871016264,0.0,4,1175.970350906117,2138.111229565491,True,False,0.23737814311117705,0.237378143111177,False,False,0.36322167826597684,
64,0.4523544047027826,0.0592283148318529,0.3905754148960114,1.6653231848031282,0.410247839987278,1.0,4,268.82271815467936,47.77245498614153,True,True,0.3383025371881343,0.3383025371881343,False,False,0.36322167826597684,
65,0.5537669114768505,0.058279542569071,0.3678747979924083,2.069777451455593,0.4000793509185314,0.0,4,-3316.4581763382826,1477.4697838470697,False,False,0.5717848697660443,0.5717848697660443,True,False,0.36322167826597684,
66,0.5808551512658596,0.058279542569071,0.3678747979924083,2.069777451455593,0.4000793509185314,0.0,4,-3284.298594821993,1556.313124703935,False,False,0.572514139502992,0.572514139502992,True,False,0.36322167826597684,
67,0.5537669114768505,0.058279542569071,0.3678747979924083,2.069777451455593,0.4000793509185314,0.0,4,-3235.139205296525,1552.5238723598409,False,False,0.5733478829819206,0.5733478829819206,True,False,0.36322167826597684,
68,0.5537669114768505,0.058279542569071,0.3017845740541816,2.069777451455593,0.4000793509185314,0.0,4,1057.2440649736525,2569.2577621727633,True,False,0.18264110631519093,0.1826411063151909,False,False,0.36322167826597684,
69,0.5537669114768505,0.058279542569071,0.3678747979924083,2.069777451455593,0.4000793509185314,1.0,4,227.0462476734264,58.69007611614032,True,True,0.40109851202855523,0.4010985120285552,True,True,0.36322167826597684,1.0
70,0.5537669114768505,0.0783775148726999,0.3678747979924083,2.069777451455593,0.4000793509185314,0.0,4,93.52159403894062,3935.586515845871,True,False,-3.363938829826961,-3.363938829826961,False,False,0.36322167826597684,
71,0.5537669114768505,0.058279542569071,0.3678747979924083,2.069777451455593,0.4000793509185314,0.0,4,-3316.45817633827,1477.469783847069,False,False,0.5717848697660621,0.5717848697660621,True,False,0.36322167826597684,
72,0.5537669114768505,0.058279542569071,0.3678747979924083,2.069777451455593,0.4000793509185314,0.0,4,-3322.0584074681055,1497.2309171648858,False,False,0.5714586853867081,0.5714586853867081,True,False,0.36322167826597684,
73,0.5537669114768505,0.058279542569071,0.3678747979924083,2.069777451455593,0.4000793509185314,1.0,4,299.9250740323153,35.08724153944952,True,True,0.4312915830608594,0.4312915830610802,True,True,0.36322167826597684,1.0
74,0.5537669114768505,0.058279542569071,0.3678747979924083,2.069777451455593,0.6212747413665056,0.0,4,-2098.82886792368,964.0385430370552,False,False,0.5730182538879403,0.5730182538879423,True,False,0.36322167826597684,
75,0.5537669114768505,0.058279542569071,0.3678747979924083,2.069777451455593,0.4000793509185314,0.0,4,-3320.0051077955827,1514.3786399544008,False,False,0.5715681152534622,0.5715681152534622,True,False,0.36322167826597684,
76,0.5537669114768505,0.058279542569071,0.3678747979924083,1.193266401067376,0.4000793509185314,1.0,4,298.7170398204818,39.188568727743956,True,True,0.4141262569552367,0.4141262569552701,True,True,0.36322167826597684,1.0
77,0.5808551512658596,0.0783775148726999,0.3017845740541816,1.193266401067376,0.6212747413665056,0.0,4,2050.3689196954974,916.9528566783986,True,True,0.4399999999999995,0.4399999999999995,True,True,0.36322167826597684,1.0
78,0.5036715565249323,0.0360670128464698,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,-702.2280379298463,242.32626445821992,False,False,0.6866449208601852,0.6866449208601852,False,False,0.36322167826597684,
79,0.5445845931768417,0.0360670128464698,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,-605.8318864167672,329.3830156989675,False,False,0.7226967998557078,0.7226967998557078,False,False,0.36322167826597684,
80,0.5036715565249323,0.0360670128464698,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,-1219.8301156962111,437.69988711185306,False,False,0.5914429556092876,0.5914429556092876,True,False,0.36322167826597684,
81,0.5036715565249323,0.0360670128464698,0.3716173214837909,1.998416874557733,0.0828646086156368,1.0,4,484.05356918408,132.5937450556199,True,True,0.25330973632013987,0.2533097363201398,False,False,0.36322167826597684,
82,0.5036715565249323,0.0360670128464698,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,-620.5993637469633,281.6389298720983,False,False,0.7081299755960339,0.7081299755960339,False,False,0.36322167826597684,
83,0.5036715565249323,0.0322989467717707,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,-1063.9466220992656,346.6474865261504,False,False,0.5997013643476723,0.599701364347679,True,False,0.36322167826597684,
84,0.5036715565249323,0.0360670128464698,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,-666.3098108059817,277.0780080027574,False,False,0.6959805516460383,0.6959805516460383,False,False,0.36322167826597684,
85,0.5036715565249323,0.0360670128464698,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,-705.5471431188057,245.3984771672303,False,False,0.6859969801441507,0.6859969801441507,False,False,0.36322167826597684,
86,0.5036715565249323,0.0360670128464698,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,345.9578530092167,108.22388674917477,True,True,0.2559128127210292,0.2559128127210292,False,False,0.36322167826597684,
87,0.5036715565249323,0.0360670128464698,0.3054587101563811,1.998416874557733,0.1320581268519163,1.0,4,-727.1444769510666,206.36495195027524,False,False,0.6801104648046632,0.6801104648046632,False,False,0.36322167826597684,
88,0.5036715565249323,0.0360670128464698,0.3054587101563811,1.998416874557733,0.0828646086156368,1.0,4,-699.137569852143,250.25775504485722,False,False,0.6874449802637546,0.6874449802637546,False,False,0.36322167826597684,
89,0.5036715565249323,0.0360670128464698,0.3054587101563811,0.9359439928084612,0.0828646086156368,1.0,4,891.2003215312952,230.16671325134362,True,True,0.3578799884888491,0.3578799884888491,True,True,0.36322167826597684,0.0
90,0.5445845931768417,0.0322989467717707,0.3716173214837909,0.9359439928084612,0.1320581268519163,1.0,4,242.79463648119062,91.20144040033702,True,True,0.27698728201033507,0.276987282010335,False,False,0.36322167826597684,
91,0.4901830142363906,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-1778.7780781650588,821.4618188355373,False,False,0.5661369278619646,0.5661369278619646,True,False,0.36322167826597684,
92,0.4229876842349768,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-1756.2540523264875,843.2265842677713,False,False,0.5684902780014177,0.5684902780014177,True,False,0.36322167826597684,
93,0.4901830142363906,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-1730.9099036083087,805.7260070643755,False,False,0.5676215144698505,0.5676215144698505,True,False,0.36322167826597684,
94,0.4901830142363906,0.0748366417922079,0.3328508876264095,0.7133849579840899,0.7577744107693434,0.0,4,-1973.572958188697,925.645647224835,False,False,0.5646853214144701,0.5646853214144701,True,False,0.36322167826597684,
95,0.4901830142363906,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-1746.381606071556,840.6213573045949,False,False,0.5685473317229587,0.5685473317229587,True,False,0.36322167826597684,
96,0.4901830142363906,0.0738456655293703,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-1790.1665864233214,787.9105038814894,False,False,0.5661875944602847,0.5661875944602847,True,False,0.36322167826597684,
97,0.4901830142363906,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-1769.2291530478608,829.2965204016723,False,False,0.5675872583554465,0.5675872583554465,True,False,0.36322167826597684,
98,0.4901830142363906,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-1686.3943604448534,781.9110486621921,False,False,0.5663301332830175,0.5663301332830175,True,False,0.36322167826597684,
99,0.4901830142363906,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-2277.1238821694233,1032.763845090776,False,False,0.5660867797841174,0.5660867797841174,True,False,0.36322167826597684,
100,0.4901830142363906,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.8428241945803165,0.0,4,-1747.5351069542207,831.5090480099939,False,False,0.5682618013237495,0.5682618013237495,True,False,0.36322167826597684,
101,0.4901830142363906,0.0748366417922079,0.3788242631591856,0.7133849579840899,0.7577744107693434,0.0,4,-1773.1989409217767,799.7339854364334,False,False,0.5669355227985534,0.5669355227985534,True,False,0.36322167826597684,
102,0.4901830142363906,0.0748366417922079,0.3788242631591856,2.4558325055986643,0.7577744107693434,0.0,4,-3104.2855302301914,1457.2906087279687,False,False,0.5674428634135359,0.5674428634135359,True,False,0.36322167826597684,
103,0.4229876842349768,0.0738456655293703,0.3328508876264095,2.4558325055986643,0.8428241945803165,0.0,4,3860.99023535143,1726.6873253417734,True,True,0.4399999999999975,0.4399999999999975,True,True,0.36322167826597684,1.0
104,0.4778634367510676,0.0431419816799461,0.312451671436429,0.5593651086091995,0.687257164157927,1.0,4,79.99893920241104,7.240977688279538,True,True,0.3744461322859112,0.3744461322859112,True,True,0.36322167826597684,1.0
105,0.4455033237114549,0.0431419816799461,0.312451671436429,0.5593651086091995,0.687257164157927,1.0,4,26.423365291942964,13.75154793751704,True,False,0.03219181202428226,0.0321918120242822,False,False,0.36322167826597684,
106,0.4778634367510676,0.0431419816799461,0.312451671436429,0.5593651086091995,0.687257164157927,1.0,4,57.093425531420166,28.756436330527432,True,False,0.29909219022981937,0.2990921902298193,False,False,0.36322167826597684,
107,0.4778634367510676,0.0431419816799461,0.3664842823520303,0.5593651086091995,0.687257164157927,1.0,4,55.282194706440144,34.109682544816735,True,False,0.31792802750054067,0.3179280275005406,False,False,0.36322167826597684,
