beta,lambda_u,rho_star,ci_lo,ci_hi,anchor,anchor_in_ci,margin_resolved,margin_side
0.05,0.0,0.35772138830328354,0.35110659027132307,0.36637744371424213,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.05,0.25,0.36706402596829085,0.3522870496126849,0.38145541810427824,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.05,0.5,0.3598848650213482,0.35107306098700003,0.37490901360144363,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.05,0.75,0.374704150719493,0.35766322865451844,0.3890694360126215,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.05,1.0,0.3583892645617245,0.35089302824039054,0.37509359687065735,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.15,0.0,0.35772138830328354,0.3508852858495985,0.3668122711694959,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.15,0.25,0.34117312571639424,,,0.3632216782659768,False,False,unresolved (rho* not resolved)
0.15,0.5,0.3502702117572416,,,0.3632216782659768,False,False,unresolved (rho* not resolved)
0.15,0.75,0.35822455057322444,0.35087230730579244,0.3904698222255691,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.15,1.0,0.36069670663201775,0.3506793498725969,0.38596472588300207,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.3,0.0,0.35772138830328354,0.3508118606078307,0.3666324390284712,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.3,0.25,0.4077076505963442,0.3839290866806786,0.42628353025128995,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
0.3,0.5,0.40210981421599473,0.36125164064347326,0.42497180280712366,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.3,0.75,0.39639091712461266,0.36104117494063287,0.41992589912247774,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.3,1.0,0.38913795645405547,0.35525897097078574,0.4155162050399891,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.5,0.0,0.35772138830328354,0.350877122213604,0.3673638894856993,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.5,0.25,0.4435562711632787,0.41896076625355255,0.4595828577933705,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
0.5,0.5,0.45352375787606536,0.43828347300021997,0.4649655703256396,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
0.5,0.75,0.45086896060672627,0.4355907953383686,0.46330611982984465,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
0.5,1.0,0.45196721505226095,0.437459877612228,0.4630592120188563,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
0.75,0.0,0.35772138830328354,0.35097816274284116,0.3662868670711484,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
0.75,0.25,0.4850913772092773,0.4707870437164354,0.4986175492974199,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
0.75,0.5,0.49513281370474926,0.4800029206998912,0.509344453954252,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
0.75,0.75,0.49480230955594584,0.479095102166201,0.5172504618274296,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
0.75,1.0,0.4966287113711322,0.48046253293734875,0.5123656422604388,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
1.0,0.0,0.35772138830328354,0.3507794188537561,0.36673040997031303,0.3632216782659768,True,False,unresolved (anchor inside rho* CI)
1.0,0.25,0.5341371059573925,0.51994969091444,0.5525459715464779,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
1.0,0.5,0.5474308775230099,0.5206115945079474,0.5925913510387895,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
1.0,0.75,0.5457955245622316,0.528958109610543,0.5740352176726119,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
1.0,1.0,0.5337914408412927,0.519266086918679,0.5573196991955874,0.3632216782659768,False,True,"falling (rho*>anchor, negative margin)"
