beta,lambda_u,point,slope,slope_seed_sd,slope_raw,viable,wage_led
0.05,0.0,4,130.0917288541546,21.61500889439457,130.0917288541546,1.0,0.0
0.05,0.25,3,115.40544480036529,20.105861429493324,115.40544480036529,1.0,0.0
0.05,0.5,2,117.39225358021656,19.1599049537098,117.39225358021656,1.0,0.0
0.05,0.75,1,116.73911303029156,19.62858378671732,116.73911303029156,1.0,0.0
0.05,1.0,0,114.82989969811743,17.77441485891933,114.82989969811743,1.0,0.0
0.15,0.0,9,130.0917288541546,21.61500889439457,130.0917288541546,1.0,0.0
0.15,0.25,8,81.49259071700966,15.487857448762202,81.49259071700966,1.0,0.0
0.15,0.5,7,76.54164537524086,12.476843961009237,76.54164537524086,1.0,0.0
0.15,0.75,6,77.11067694292903,14.516423246266301,77.11067694292903,1.0,0.0
0.15,1.0,5,78.78517913640123,14.317586727741963,78.78517913640123,1.0,0.0
0.3,0.0,14,130.0917288541546,21.61500889439457,130.0917288541546,1.0,0.0
0.3,0.25,13,50.8647414928799,6.960100335739298,50.8647414928799,1.0,0.0
0.3,0.5,12,52.146286104501314,11.622865575561972,52.146286104501314,1.0,0.0
0.3,0.75,11,53.20357525561851,7.63101787694279,53.20357525561851,1.0,0.0
0.3,1.0,10,54.06030482097382,10.729654767312578,54.06030482097382,1.0,0.0
0.5,0.0,19,130.0917288541546,21.61500889439457,130.0917288541546,1.0,0.0
0.5,0.25,18,21.888593171513037,12.314423098276386,21.888593171513037,1.0,0.0
0.5,0.5,17,23.318790131408953,12.832705519073244,23.318790131408953,1.0,0.0
0.5,0.75,16,21.361493253453705,9.922262343969908,21.361493253453705,1.0,0.0
0.5,1.0,15,22.597292450092503,11.960207873572834,22.597292450092503,1.0,0.0
0.75,0.0,24,130.0917288541546,21.61500889439457,130.0917288541546,1.0,0.0
0.75,0.25,23,5.242641502665181,11.016957215945977,5.242641502665181,1.0,0.0
0.75,0.5,22,1.4826939364851384,10.21247000286571,1.4826939364851384,1.0,0.0
0.75,0.75,21,1.3538472629033378,10.668528450041894,1.3538472629033378,1.0,0.0
0.75,1.0,20,0.9928465703536531,10.527444253086337,0.9928465703536531,1.0,0.0
1.0,0.0,29,130.0917288541546,21.61500889439457,130.0917288541546,1.0,0.0
1.0,0.25,28,-8.338275276505906,7.9924243625212705,-8.338275276505906,1.0,1.0
1.0,0.5,27,-9.9505475591331,10.296869908920081,-9.9505475591331,1.0,1.0
1.0,0.75,26,-10.99659492197004,7.65215137158072,-10.99659492197004,1.0,1.0
1.0,1.0,25,-8.53925833111457,6.051006299721692,-8.53925833111457,1.0,1.0
