beta,lambda_u,point,util_effect_mean,util_effect_sd_temporal,util_effect_sd_across_runs,util_effect_min,util_effect_max,util_effect_range,expected_utilization_mean
0.05,0.0,4,1.0,0.0,0.0,1.0,1.0,0.0,0.9000000000000001
0.05,0.25,3,0.9784701637008191,0.00040800169620510237,0.006588196588044347,0.9703022787603024,0.9925326864354906,0.022230407675188246,0.4693117807576884
0.05,0.5,2,0.9785141319751967,0.0003805473178722924,0.006664344250952507,0.9709352131664104,0.9917912410586024,0.020856027892191986,0.470243636307092
0.05,0.75,1,0.9785279323835177,0.0004463812729977574,0.006724154895666301,0.9708973819684076,0.9930608200806864,0.022163438112278833,0.4705632323055674
0.05,1.0,0,0.9784965733601148,0.0004548203402425746,0.006586634702473986,0.9702380141379802,0.9935578564818812,0.023319842343901054,0.46984660649323057
0.15,0.0,9,1.0,0.0,0.0,1.0,1.0,0.0,0.9000000000000001
0.15,0.25,8,0.9389511398626688,0.0014683094239063943,0.01978513952491848,0.9143481576601902,0.979976523253318,0.06562836559312779,0.49300206029344107
0.15,0.5,7,0.939141005249116,0.0015796673927945114,0.020006848031313952,0.9140343756405404,0.9813229208626122,0.06728854522207184,0.4942727852477436
0.15,0.75,6,0.9390370297228727,0.0015766398484891252,0.01998895892274648,0.914926294670131,0.9805869700433778,0.06566067537324682,0.49356760987427767
0.15,1.0,5,0.9388411437734412,0.0016326480660076967,0.019720781823297666,0.91498772421461,0.9778892726071866,0.06290154839257656,0.4922349114032274
0.3,0.0,14,1.0,0.0,0.0,1.0,1.0,0.0,0.9000000000000001
0.3,0.25,13,0.8870871323948413,0.003366321705191591,0.03857187354870599,0.8307319172286494,0.9683702609039272,0.13763834367527783,0.5237254789790414
0.3,0.5,12,0.8867605087223212,0.003139572467067949,0.03862419374454768,0.8360068338713024,0.9623549624828224,0.12634812861152,0.5225258909575092
0.3,0.75,11,0.8872255966025744,0.003692667276403433,0.03852403652112916,0.839830461569902,0.9755609747210598,0.1357305131511578,0.524115482132321
0.3,1.0,10,0.8865595198760626,0.003132263507728269,0.03849551880453882,0.8369116759810729,0.967543200814065,0.13063152483299212,0.5218595574847298
0.5,0.0,19,1.0,0.0,0.0,1.0,1.0,0.0,0.9000000000000001
0.5,0.25,18,0.8322983801195958,0.006745394870588726,0.05971953445834978,0.750741605090222,0.9687253623465872,0.2179837572563652,0.5646205408406015
0.5,0.5,17,0.8323131880267681,0.007886462632890601,0.06081114908847417,0.7506185445656569,0.9690081253109142,0.21838958074525727,0.5647263645352538
0.5,0.75,16,0.8322112418647987,0.007400835310595151,0.06122356115015663,0.7463940324765492,0.9743380847862876,0.22794405230973835,0.5644022725171343
0.5,1.0,15,0.832630621537864,0.007714083065621133,0.06173930926129423,0.7406595377350502,0.9742749571336896,0.2336154193986394,0.5654001420490715
0.75,0.0,24,1.0,0.0,0.0,1.0,1.0,0.0,0.9000000000000001
0.75,0.25,23,0.7815480886815489,0.012412553396111888,0.08375289100604168,0.6479932285837379,0.99415744529922,0.34616421671548214,0.6087793546286686
0.75,0.5,22,0.782589434509733,0.015294744723041643,0.08329908207602008,0.6458657577830482,0.974314529857802,0.32844877207475376,0.6100837562357138
0.75,0.75,21,0.7806405173296926,0.013524027332551963,0.08237220030572046,0.650335973741732,0.974280208095025,0.323944234353293,0.6074644102070947
0.75,1.0,20,0.7830023098470392,0.013071345882843297,0.08371645401055856,0.6511798819809449,0.9978340249974014,0.3466541430164565,0.6106517552187732
1.0,0.0,29,1.0,0.0,0.0,1.0,1.0,0.0,0.9000000000000001
1.0,0.25,28,0.7468701481882596,0.025728748836425418,0.10176774368013075,0.5748042142834874,1.0492753198802711,0.47447110559678374,0.6470315319104014
1.0,0.5,27,0.749002035240359,0.02222367392846137,0.10001461570399969,0.5740213325093422,1.004471338894543,0.4304500063852008,0.6489515223455651
1.0,0.75,26,0.747880322357303,0.024935813253100514,0.09937536222073395,0.5632114634777052,0.9963191462139144,0.43310768273620914,0.6477664573845923
1.0,1.0,25,0.7486546331062401,0.023625932485108705,0.10050878962371393,0.5631100114412794,1.0174318231878463,0.45432181174656694,0.6486463941107683
