c0,eta,prices,sigma,dY_drho,slope_sign,rho_star,rho_star_in_support,anchored_left_of_star
1.0,0.1,off,0.05,120.04750345481985,1,0.023759734751590635,False,False
1.0,0.1,off,0.3,43.58503059518239,1,0.3231683812309178,False,False
1.0,0.1,off,0.4,38.106271899760266,1,0.40010295792355594,True,True
1.0,0.1,off,0.5,22.24499241603392,1,0.44240959068050933,True,True
1.0,0.1,off,0.6,15.333148373101311,1,0.4647991385830975,True,True
1.0,0.1,off,0.7,2.8971916411934613,1,0.4919077523134324,True,True
1.0,0.1,off,0.8,-8.261213124141895,-1,0.5232960009977693,True,True
1.0,0.1,off,0.9,-18.420506460441096,-1,0.5424563187433102,True,True
1.0,0.1,off,1.0,-22.589998507840313,-1,0.5445781979426729,True,True
1.0,0.1,off,1.25,-46.13396909945265,-1,0.576552712801822,True,True
1.0,0.1,off,1.5,62.55488803626834,1,0.5279159735523932,True,True
1.0,0.1,on,0.05,145.71316463003672,1,0.641786522488425,True,True
1.0,0.1,on,0.3,50.91138134873377,1,0.4006868360209564,True,True
1.0,0.1,on,0.4,33.09337400500948,1,0.4417386584705695,True,True
1.0,0.1,on,0.5,19.183841960993725,1,0.4585999320644302,True,True
1.0,0.1,on,0.6,14.194843300195206,1,0.46674144365334463,True,True
1.0,0.1,on,0.7,6.503684864125897,1,0.4843164045281991,True,True
1.0,0.1,on,0.8,0.5299200825594532,1,0.49883192279441163,True,True
1.0,0.1,on,0.9,-7.7762419077249225,-1,0.5180344013641205,True,True
1.0,0.1,on,1.0,-15.596711334640517,-1,0.5339201742175457,True,True
1.0,0.1,on,1.25,-29.594494444245107,-1,0.5795656251225192,True,True
1.0,0.1,on,1.5,-42.3626912790693,-1,0.6056418580911475,True,True
