sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Price,c0,eta,enable_prices,prices
0.05,0.35,0,79.98962199994763,252.83801088339183,12.641900543575154,67.34772145637248,45.0,0.55,0.5063156818021531,0.5120135414510577,0.4936843181978468,0.6938659565025548,0.9091398976276809,0.05143346197173288,0.014929346446344116,84.32684349820904,81.20191349867542,0.9850706535524661,0.0,0.9,0.0,0.09999999999999998,0.9,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,1,82.22525132582133,262.86157606689244,13.143078803344602,69.08217252247671,46.0,0.54,0.5034949645328611,0.5120135414510577,0.4965050354671388,0.6886125133708473,0.9094980793217604,0.06210410726860429,0.02601065995439094,87.66991300746618,84.42109984691511,0.9739893400456088,0.0,0.9,0.0,0.0,1.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,2,0.0,1.468631494583721e-37,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.9313017411680501,1.0,1.0,4.898197888373839e-38,4.812955744929686e-38,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,3,80.3060412023824,255.77595643838586,12.788797821919273,67.51724338046313,45.0,0.55,0.5043207135305595,0.5120135414510577,0.4956792864694404,0.6922767059014712,0.9047371731189077,0.05861987876269393,0.02239232698727582,85.30671021269485,82.1454694140245,0.977607673012724,0.0,0.9,0.09999999999999998,0.09999999999999998,0.7999999999999998,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,4,79.85694209061066,251.72557088355614,12.586278433312765,67.27066365729789,45.0,0.55,0.507156910091125,0.5120135414510577,0.492843089908875,0.6925561471273008,0.9064881287453064,0.04882185831606314,0.012217237638723141,83.95582130307827,80.84464027263857,0.9877827621378101,0.0,0.9,0.0,0.09999999999999998,0.9,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,5,84.52590305180605,275.17357653482986,13.758678826741487,70.76722422506458,47.0,0.5300000000000001,0.5004383091189724,0.5120135414510577,0.4995616908810277,0.6823474205223586,0.9081077442603163,0.07899995333559064,0.04355678106710037,91.77622016191417,88.37524421586818,0.9564432189328995,0.0,0.9,0.30000000000000004,0.09999999999999998,0.6000000000000001,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,6,84.50300436630572,274.82112824763396,13.741056412381692,70.76194795392402,47.0,0.5300000000000001,0.5005739182554612,0.5120135414510577,0.4994260817445388,0.682159383184933,0.9072686233174161,0.07806863187811791,0.0425896165403112,91.65867144584907,88.26205128562164,0.957410383459689,0.0,0.9,0.19999999999999996,0.30000000000000004,0.5,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,7,0.0,4.9518736067316005e-39,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.9257590484690706,1.0,1.0,1.651554997522503e-39,1.6228133886261235e-39,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,8,0.0,2.0601587386499107e-31,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.9230445569179874,1.0,1.0,6.87106685413292e-32,6.751491353154377e-32,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,9,92.32463533748826,311.81024995603167,15.590512497801607,76.73412283968668,51.0,0.49,0.49715874676585237,0.5120135414510577,0.5028412532341476,0.6586112944409455,0.9097581891667123,0.11222222132043272,0.0780586049376278,103.99520865999482,100.14154460570914,0.9219413950623727,0.0,0.9,0.7999999999999998,0.0,0.19999999999999996,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,10,82.59885832769997,267.4271925579032,13.371359627895146,69.22749869980481,46.0,0.54,0.501217581431344,0.5120135414510577,0.4987824185686559,0.6883800063109947,0.9077376097349044,0.07392743240878386,0.03828900540315488,89.19264128786988,85.88740150810678,0.9617109945968448,0.0,0.9,0.19999999999999996,0.09999999999999998,0.7000000000000002,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.35,11,0.0,7.410297909794348e-38,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.918909293540533,1.0,1.0,2.471491705566623e-38,2.4284809380786436e-38,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,0,85.38780965871027,302.77368682883247,15.138684341441648,70.24912531726861,47.0,0.5300000000000001,0.4953868727757563,0.5120135414510577,0.5046131272242436,0.682201568932972,0.9113087013873049,0.15442026334109563,0.12188004650207244,100.98138112450368,97.23934562536027,0.8781199534979277,0.0,0.9,0.5,0.19999999999999996,0.30000000000000004,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,1,83.5515277246705,294.7405277899402,14.737026389497032,68.81450133517347,46.0,0.54,0.49550260931704915,0.5120135414510577,0.5044973906829507,0.6877479890656504,0.9094269589864669,0.1500541916724245,0.11734570251751165,98.30218221685627,94.6594017193103,0.8826542974824886,0.0,0.9,0.5,0.19999999999999996,0.30000000000000004,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,2,85.37935085312358,302.0636222841427,15.103181114207182,70.2761697389164,47.0,0.5300000000000001,0.49543595233896603,0.5120135414510577,0.5045640476610338,0.6822902152896351,0.9102887270550123,0.15251653850614422,0.11990303352108289,100.74456285273783,97.0113000101664,0.880096966478917,0.0,0.9,0.5,0.19999999999999996,0.30000000000000004,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,3,94.57474212876733,347.311884915346,17.365594245767298,77.20914788300007,52.0,0.48,0.49484671008967585,0.5120135414510577,0.5051532899103242,0.6484484156300416,0.9069186193911619,0.18353745169751381,0.152125405387995,115.83475852676706,111.54331398742475,0.8478745946120047,0.0,0.9,0.9,0.0,0.09999999999999998,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,4,92.74599339131841,338.9823056921917,16.949115284609572,75.79687810670883,51.0,0.49,0.4949000848622807,0.5120135414510577,0.5050999151377193,0.6556623480869497,0.9100358781119663,0.1796535370684169,0.1480889929854372,113.05710158105896,108.86817123814077,0.8519110070145629,0.0,0.9,0.9,0.0,0.09999999999999998,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,5,89.87921604148671,324.8529143979454,16.23993293854818,73.63928310293856,49.470588235294116,0.505294117647059,0.49536713673671806,0.5120135414510577,0.5046328632632819,0.6649040476864437,0.90735917683977,0.17043454877309946,0.1385115472456599,108.34504782653335,104.33062869731218,0.8615649524835707,0.0,0.9,0.8254901960784311,0.13137254901960782,0.04313725490196079,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,6,87.84321451269204,316.0111912813079,15.799675541069824,72.0435389716222,48.35294117647059,0.5164705882352942,0.49539737842006704,0.5120135414510577,0.504602621579933,0.6713220524701944,0.9061912754514585,0.16654336845342843,0.13446843353381513,105.39627137765743,101.49076485233344,0.8655546555287368,0.0,0.9,0.8882352941176471,0.011764705882352943,0.09999999999999998,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,7,89.10197043686834,324.63308170171337,16.231654085085708,72.87031635178263,49.0,0.51,0.4949385494369767,0.5120135414510577,0.5050614505630233,0.6669592283351884,0.9072299249875558,0.17705233196291173,0.14538475546065627,108.27173330400976,104.25974847300584,0.8546152445393435,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,8,90.82247860170122,331.154580133282,16.4993349891609,74.32314361254032,49.98039215686274,0.5001960784313726,0.4952740412239635,0.5120135414510577,0.5047259587760365,0.6620867414673696,0.9092509921406094,0.17766351126949254,0.14609104933636916,110.44664163726766,106.36389124122765,0.8536986076469165,0.0,0.9,0.8980392156862744,0.04705882352941177,0.05490196078431373,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,9,92.75420518715654,340.32540772515404,17.01627038625774,75.73793480089878,51.0,0.49,0.4948562699382139,0.5120135414510577,0.505143730061786,0.6553099136963344,0.9090890159042692,0.18281831362830517,0.15137594820677894,113.5049974002566,109.29952431958337,0.8486240517932208,0.0,0.9,0.9,0.09999999999999998,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
