sigma,L_demand_at_K_lo,L_demand_at_K_hi,workers_displaced_pct,elasticity_L_wrt_K,wage_share_profitmax
0.05,7.408990224,7.239279929,-2.290599515,-0.0002440352213,0.5120135415
0.2,7.408448863,6.810109011,-8.076452471,-0.07863994332,0.5338023649
0.3,7.408391075,6.621989296,-10.61501439,-0.159212192,0.5488409715
0.4,7.408362351,6.486969074,-12.43720586,-0.2323026131,0.564303255
0.5,7.40834517,6.385932967,-13.80081758,-0.2952627041,0.5802011514
0.6,7.408333739,6.307586033,-14.85823593,-0.3490505137,0.596546933
0.8,7.408319475,6.194027862,-16.39091858,-0.4349775586,0.6306329799
1,7.40831093,6.115665838,-17.44858044,-0.5,0.6666666667
1.25,7.408304101,6.046291622,-18.3849429,-0.5616546254,0.7146177814
1.5,7.408299552,5.996249163,-19.06038463,-0.6086094661,0.7660178602
