sigma,rho,Y,U,dY_drho,dU_drho,binding
0.05,0.4,87.41626837,0.5133333333,612.7550745,-3.3,capital
0.05,0.5,148.6917758,0.1833333333,402.0257843,-2.175163399,demand
0.05,0.6,167.8214252,0.07830065359,191.296494,-1.050326797,demand
0.2,0.4,129.1467953,0.311372549,107.7798524,-0.3738562092,demand
0.2,0.5,139.9247806,0.2739869281,110.9317089,-0.4431372549,demand
0.2,0.6,151.3331371,0.222745098,114.0835654,-0.5124183007,demand
0.3,0.4,129.0808716,0.317124183,45.83342688,0.05620915033,demand
0.3,0.5,133.6642142,0.322745098,102.6215224,-0.285620915,demand
0.3,0.6,149.605176,0.26,159.409618,-0.6274509804,demand
0.4,0.4,129.9960164,0.3107843137,20.78933841,0.3117647059,demand
0.4,0.5,132.0749502,0.3419607843,36.39637544,0.1375816993,demand
0.4,0.6,137.2752915,0.3383006536,52.00341246,-0.03660130719,demand
0.5,0.4,128.3614387,0.3182352941,52.31777413,0.2588235294,demand
0.5,0.5,133.5932161,0.3441176471,59.57492635,0.1156862745,demand
0.5,0.6,140.276424,0.341372549,66.83207856,-0.02745098039,demand
0.6,0.4,128.9179539,0.3093464052,25.60685169,0.4888888889,demand
0.6,0.5,131.478639,0.3582352941,32.57291492,0.3401960784,demand
0.6,0.6,135.4325369,0.3773856209,39.53897814,0.191503268,demand
0.8,0.3,149.9189184,0.01712418301,-187.4060441,2.62875817,demand
0.8,0.4,131.178314,0.28,-113.3956141,1.812091503,demand
0.8,0.5,127.2397956,0.3795424837,-3.883018216,0.6326797386,demand
0.8,0.6,130.4017104,0.4065359477,31.61914764,0.2699346405,demand
1,0.4,131.8056201,0.2602614379,-37.88065306,1.077124183,demand
1,0.5,128.0175548,0.3679738562,-27.05768357,0.8441176471,demand
1,0.6,126.3940834,0.4290849673,-16.23471408,0.6111111111,demand
1.25,0.4,134.8664277,0.2081045752,-57.58961975,1.354248366,demand
1.25,0.5,129.1074657,0.3435294118,-50.46675534,1.118954248,demand
1.25,0.6,124.7730766,0.4318954248,-43.34389094,0.8836601307,demand
1.5,0.4,139.2120305,0.1416993464,-112.3236284,1.718954248,demand
1.5,0.5,127.9796676,0.3135947712,-78.22269468,1.381045752,demand
1.5,0.6,123.5674915,0.4179084967,-44.12176094,1.043137255,demand
