sigma,rho,Y,U,dY_drho,dU_drho,binding
0.05,0.4,87.41626837,0.5133333333,612.7550743,-3.3,capital
0.05,0.5,148.6917758,0.1833333333,402.0257842,-2.175163399,demand
0.05,0.6,167.8214252,0.07830065359,191.296494,-1.050326797,demand
0.2,0.4,129.1467953,0.311372549,107.779853,-0.373856209,demand
0.2,0.5,139.9247806,0.2739869281,110.931709,-0.443137255,demand
0.2,0.6,151.3331371,0.222745098,114.083565,-0.512418301,demand
0.3,0.4,129.0808716,0.317124183,45.833426,0.05620915,demand
0.3,0.5,133.6642142,0.322745098,102.621522,-0.285620915,demand
0.3,0.6,149.605176,0.26,159.409618,-0.62745098,demand
0.4,0.4,129.9960164,0.3107843137,20.789338,0.311764706,demand
0.4,0.5,132.0749502,0.3419607843,36.3963755,0.1375816995,demand
0.4,0.6,137.2752915,0.3383006536,52.003413,-0.036601307,demand
0.5,0.4,128.3614387,0.3182352941,52.317774,0.25882353,demand
0.5,0.5,133.5932161,0.3441176471,59.5749265,0.1156862745,demand
0.5,0.6,140.276424,0.341372549,66.832079,-0.027450981,demand
0.6,0.4,128.9179539,0.3093464052,25.606851,0.488888889,demand
0.6,0.5,131.478639,0.3582352941,32.572915,0.3401960785,demand
0.6,0.6,135.4325369,0.3773856209,39.538979,0.191503268,demand
0.8,0.4,131.178314,0.28,-39.385184,0.995424837,demand
0.8,0.5,127.2397956,0.3795424837,-3.883018,0.6326797385,demand
0.8,0.6,130.4017104,0.4065359477,31.619148,0.26993464,demand
1,0.4,131.8056201,0.2602614379,-37.880653,1.077124183,demand
1,0.5,128.0175548,0.3679738562,-27.0576835,0.844117647,demand
1,0.6,126.3940834,0.4290849673,-16.234714,0.611111111,demand
1.25,0.4,134.8664277,0.2081045752,-57.58962,1.354248366,demand
1.25,0.5,129.1074657,0.3435294118,-50.4667555,1.118954248,demand
1.25,0.6,124.7730766,0.4318954248,-43.343891,0.88366013,demand
1.5,0.4,139.2120305,0.1416993464,-112.323629,1.718954248,demand
1.5,0.5,127.9796676,0.3135947712,-78.222695,1.381045752,demand
1.5,0.6,123.5674915,0.4179084967,-44.121761,1.043137255,demand
