sigma,rho,Y,K,K_over_Y,I_over_Y,L,U,wage_share,wage_share_profitmax,utilization,binding,bound_demand,bound_profitmax,bound_capital,bound_workforce,cash_constrained,Y_seed_min,Y_seed_max,Y_band_rel,collapsed
0.05,0.0,0.0,6.327309109917904e-42,,,0.0,1.0,0.0,0.5120135414510577,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.05,0.1,0.0,7.713495414173437e-42,,,0.0,1.0,0.0,0.5120135414510577,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.05,0.2,0.0,1.3103434868535627e-41,,,0.0,1.0,0.0,0.5120135414510577,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.05,0.3,0.0,3.7824677920556915e-41,,,0.0,1.0,0.0,0.5120135414510577,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.05,0.4,87.41626836593605,283.4911259671365,3.24300191790852,0.1621500958954262,48.666666666666664,0.5133333333333333,0.5010615752855941,0.5120135414510577,0.9602334867073705,capital,0.033333333333333326,0.0,0.9666666666666667,0.0,0.9,85.99559603489152,88.19359854722995,0.025144089920852087,False
0.05,0.5,148.69177582050494,645.9963009033067,4.344532825293101,0.2172266412646552,81.66666666666667,0.18333333333333332,0.4943111350535962,0.5120135414510577,0.7167011004237805,demand,1.0,0.0,0.0,0.0,0.9,147.47772909793414,149.2990437288943,0.012248926485071922,False
0.05,0.6,167.82142521608714,838.6465819938402,4.997255749163121,0.2498626433425648,92.16993464052287,0.07830065359477124,0.4942928316771488,0.5120135414510577,0.6231876837458343,demand,1.0,0.0,0.0,0.0,0.9,165.69212851484315,172.07999832676194,0.038063494000803284,False
0.2,0.0,0.0,6.493477302424646e-42,,,0.0,1.0,0.0,0.5338023648956028,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.2,0.1,0.0,8.406161411469559e-42,,,0.0,1.0,0.0,0.5338023648956028,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.2,0.2,0.0,1.7703675399591703e-41,,,0.0,1.0,0.0,0.5338023648956028,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.2,0.3,0.0,9.853267200650063e-41,,,0.0,1.0,0.0,0.5338023648956028,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.2,0.4,129.1467953138192,479.64316808834246,3.713937824959864,0.18413605344124803,68.86274509803921,0.3113725490196078,0.47983027166748066,0.5338023648956028,0.7862289071344942,demand,1.0,0.0,0.0,0.0,0.9,128.7086671141233,129.4455330822362,0.005705646557642931,False
0.2,0.5,139.92478055879596,619.9537474252315,4.430621545014529,0.2216895056883188,72.60130718954248,0.2739869281045752,0.4669735083987005,0.5338023648956028,0.6594937244463835,demand,1.0,0.0,0.0,0.0,0.9,138.68682152450006,140.8037593716306,0.015129113218376733,False
0.2,0.6,151.33313709888515,770.4972687461714,5.091398245730594,0.2545205123270635,77.72549019607844,0.2227450980392157,0.4622485742824021,0.5338023648956028,0.5738805754429839,demand,1.0,0.0,0.0,0.0,0.9,147.92137503576504,155.85188381333938,0.052404310976467354,False
0.3,0.0,0.0,6.632314476946593e-42,,,0.0,1.0,0.0,0.5488409715364094,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.3,0.1,0.0,8.823936426086493e-42,,,0.0,1.0,0.0,0.5488409715364094,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.3,0.2,0.0,2.0422258724266081e-41,,,0.0,1.0,0.0,0.5488409715364094,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.3,0.3,0.0,1.6944411083902262e-40,,,0.0,1.0,0.0,0.5488409715364094,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.3,0.4,129.08087155982005,477.1007785896879,3.696138496931241,0.18378439786917633,68.2875816993464,0.31712418300653594,0.47610328946187996,0.5488409715364094,0.7546499193712121,demand,1.0,0.0,0.0,0.0,0.9,126.95641173086473,130.41363756078707,0.026783409409504577,False
0.3,0.5,133.66421424782757,591.1894866259652,4.4229451387028496,0.22063395194710564,67.72549019607844,0.32274509803921575,0.45603153639803057,0.5488409715364094,0.6310296773021711,demand,1.0,0.0,0.0,0.0,0.9,128.91201553249488,137.8513509872116,0.06687904840514934,False
0.3,0.6,149.60517604360828,778.2337857624007,5.201917516112905,0.26009587580564547,74.0,0.26,0.4451740887126203,0.5488409715364094,0.5364316986035895,demand,1.0,0.0,0.0,0.0,0.9,147.50684986979905,151.71690497843517,0.028141105942811277,False
0.4,0.0,0.0,6.770943405254537e-42,,,0.0,1.0,0.0,0.5643032549995192,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.4,0.1,0.0,9.276832614276344e-42,,,0.0,1.0,0.0,0.5643032549995192,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.4,0.2,0.0,2.339566826239705e-41,,,0.0,1.0,0.0,0.5643032549995192,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.4,0.3,0.0,3.1930865616789332e-40,,,0.0,1.0,0.0,0.5643032549995192,0.0,collapsed,0.0,0.0,1.0,0.0,0.9,0.0,0.0,,True
0.4,0.4,129.99601638642062,471.37083900480314,3.62604064422733,0.18212087542732697,68.92156862745098,0.31078431372549026,0.47711607374284815,0.5643032549995192,0.7332175614623903,demand,1.0,0.0,0.0,0.0,0.9,129.77007934914144,130.1612278316109,0.0030089266836203317,False
0.4,0.5,132.0749502275728,583.644735182131,4.419041871123004,0.22079288547486042,65.80392156862746,0.3419607843137255,0.4484054110423417,0.5643032549995192,0.6013626655794512,demand,1.0,0.0,0.0,0.0,0.9,130.83416917537255,132.79683939624982,0.014860276059127615,False
