tex_file,tex_line,token,decimals,artifact,cell_row,cell_col,x,r1,r2,candidate_class,token_class
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,41,sigma_star,0.0947338006277584,0.09,0.10,DOUBLE-ROUND SIGNATURE,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b13_summary.csv,0,P_wage_led_given_viable,0.0952677459526774,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b14_wide_indices.csv,17,S1_conf,0.0954275399927424,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b13_wide_indices.csv,32,S1,0.0957049050638521,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b05_distribution_slopes.csv,1,dOutput_Gap_se,0.0957844663126916,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b14_wide_indices.csv,7,S1_conf,0.0960412318469332,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b14_wide_indices.csv,25,S1,0.0966703350768742,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b09_dose_response.csv,3,Tax_Rate,0.0967327590821695,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b05_distribution_slopes.csv,11,dOutput_Gap_se,0.0968266864556567,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b13_summary.csv,1,P_wage_led_all_points,0.0973557692307692,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b05_distribution_slopes.csv,13,dOutput_Gap,0.0974447049039368,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b14_summary.csv,1,P_wage_led_OLS_given_viable,0.0975609756097561,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b05_distribution_slopes.csv,10,dU_se,0.0981957531809255,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b11_anchoring_ratios.csv,11,K_over_Y_sd,0.0987304708466609,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b14_wide_indices.csv,6,ST_conf,0.0989991939953004,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b17_util_effect.csv,28,util_effect_sd_across_runs,0.0993753622207339,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star.csv,6,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star.csv,7,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star.csv,16,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star.csv,17,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,14,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,15,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,16,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,17,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,18,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,19,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,20,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,36,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,37,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,38,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_sigma_star_by_rho.csv,39,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,22,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,23,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,24,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,25,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,26,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,27,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,28,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,29,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,30,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,31,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,32,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,66,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,67,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,68,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,69,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,70,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,71,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,72,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,73,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,74,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,75,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_slopes.csv,76,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_support_map.csv,2,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_support_map.csv,6,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_wage_u_summary.csv,2,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b07_wage_u_summary.csv,6,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b08_nesting_check.csv,1,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b08_nesting_check.csv,2,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b08_sigma_star.csv,8,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b08_sigma_star.csv,9,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b08_sigma_star.csv,10,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b08_sigma_star.csv,11,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
paper/appendices/a_validation.tex,35,0.10,2,results/ces_b08_sigma_star.csv,12,eta,0.1,0.10,0.10,OK,AMBIGUOUS CANDIDATE
